,P,cost,value
0,0.01,0.01,4.437376337598563
1,0.01,0.1,4.4384740399945795
2,0.01,0.2,4.463402343565653
3,0.01,0.3,4.463657245453721
4,0.01,0.4,4.435164594836099
5,0.01,0.5,4.447896320300049
6,0.01,0.6,4.433059500856645
7,0.01,0.7,4.465352686029782
8,0.01,0.8,4.419703680552211
9,0.01,0.9,4.385021751603878
10,0.01,0.99,8.27127228229343
11,0.1,0.01,5.241788478487024
12,0.1,0.1,5.300819164786263
13,0.1,0.2,5.285210108510129
14,0.1,0.3,5.287166271990126
15,0.1,0.4,5.295919144458966
16,0.1,0.5,5.239310157136961
17,0.1,0.6,5.208465463418226
18,0.1,0.7,4.919494253459733
19,0.1,0.8,3.2473338777971446
20,0.1,0.9,2.42152938675264
21,0.1,0.99,7.936691609173866
22,0.2,0.01,5.620843957368039
23,0.2,0.1,5.631364529844573
24,0.2,0.2,5.671003805006172
25,0.2,0.3,5.6821506934169195
26,0.2,0.4,5.538837040121782
27,0.2,0.5,5.4720439957184706
28,0.2,0.6,5.039912628754333
29,0.2,0.7,3.018249740456934
30,0.2,0.8,-0.1985559783255631
31,0.2,0.9,6.560056707669379
32,0.2,0.99,7.196977088271619
33,0.3,0.01,5.988154736144975
34,0.3,0.1,5.885354366203858
35,0.3,0.2,5.863352209757839
36,0.3,0.3,5.824304734937648
37,0.3,0.4,5.693019902142403
38,0.3,0.5,5.243684003635883
39,0.3,0.6,3.053705840828324
40,0.3,0.7,-1.3294769390770496
41,0.3,0.8,4.86302011485678
42,0.3,0.9,6.649254489343849
43,0.3,0.99,6.67570927394981
44,0.4,0.01,6.157544616556665
45,0.4,0.1,6.117138932328422
46,0.4,0.2,6.056699005401544
47,0.4,0.3,5.8569124160828965
48,0.4,0.4,5.403010062176317
49,0.4,0.5,3.318218299368562
50,0.4,0.6,-1.3942058295994575
51,0.4,0.7,3.6379656329771883
52,0.4,0.8,6.095230409922009
53,0.4,0.9,6.479969418539744
54,0.4,0.99,6.457967518513841
55,0.5,0.01,6.227231306108808
56,0.5,0.1,6.217410048215828
57,0.5,0.2,6.249493141513732
58,0.5,0.3,5.617555750274105
59,0.5,0.4,3.5719914888824085
60,0.5,0.5,-1.482753816537688
61,0.5,0.6,3.3243144824101707
62,0.5,0.7,5.562609277851335
63,0.5,0.8,6.103654328878604
64,0.5,0.9,6.247558725785663
65,0.5,0.99,6.271533808774631
66,0.6,0.01,6.432300365908855
67,0.6,0.1,6.3402408567477515
68,0.6,0.2,5.978470553181908
69,0.6,0.3,4.154053906609218
70,0.6,0.4,-0.9243824875291924
71,0.6,0.5,2.412186837856557
72,0.6,0.6,5.122927280944555
73,0.6,0.7,5.901818241164967
74,0.6,0.8,6.046620870525668
75,0.6,0.9,6.118440427153173
76,0.6,0.99,6.1383046619328
77,0.7,0.01,6.559685361283653
78,0.7,0.1,6.300279775352465
79,0.7,0.2,4.782171678350208
80,0.7,0.3,-0.6265713286270801
81,0.7,0.4,1.760609404634258
82,0.7,0.5,4.749664804730622
83,0.7,0.6,5.48459212393119
84,0.7,0.7,5.827556302417509
85,0.7,0.8,5.860766611206497
86,0.7,0.9,5.847062941146987
87,0.7,0.99,5.93653569702704
88,0.8,0.01,6.781178242394398
89,0.8,0.1,5.785495397312678
90,0.8,0.2,0.6394625243414959
91,0.8,0.3,1.4226509811876333
92,0.8,0.4,4.286872977467649
93,0.8,0.5,5.256400529273969
94,0.8,0.6,5.481428559118657
95,0.8,0.7,5.63824753919911
96,0.8,0.8,5.619890284215064
97,0.8,0.9,5.6631166274001545
98,0.8,0.99,5.629750018645275
99,0.9,0.01,6.663861621002117
100,0.9,0.1,2.665050791285799
101,0.9,0.2,0.8364682852566365
102,0.9,0.3,3.7389879293812207
103,0.9,0.4,4.793040397736432
104,0.9,0.5,5.035581593668406
105,0.9,0.6,5.20230235664102
106,0.9,0.7,5.238775854379073
107,0.9,0.8,5.261257714572634
108,0.9,0.9,5.258947245736728
109,0.9,0.99,5.265373335948094
110,0.99,0.01,5.05351566223254
111,0.99,0.1,1.5154696004925463
112,0.99,0.2,2.2193430666923346
113,0.99,0.3,3.3061493994637385
114,0.99,0.4,3.841124658143611
115,0.99,0.5,4.146024967897204
116,0.99,0.6,4.159801594685289
117,0.99,0.7,4.418724820346326
118,0.99,0.8,4.412898106656359
119,0.99,0.9,4.42203683138071
120,0.99,0.99,4.471769303797377
