,P,cost,value
0,0.01,0.01,-1.03659090317987
1,0.01,0.1,-1.2669051432452838
2,0.01,0.2,-1.0768015141020335
3,0.01,0.3,-0.7091956157812135
4,0.01,0.4,-1.0653786416728175
5,0.01,0.5,-0.8397830806584761
6,0.01,0.6,-0.5891368234169552
7,0.01,0.7,-0.16251228936459183
8,0.01,0.8,-0.1723631381697034
9,0.01,0.9,2.337398856150092
10,0.01,0.99,9.75943217339775
11,0.1,0.01,-2.27663331568099
12,0.1,0.1,-1.9314246765391132
13,0.1,0.2,-2.0750590962996562
14,0.1,0.3,-1.9369387280743324
15,0.1,0.4,-1.3576226181976665
16,0.1,0.5,-1.123742278649031
17,0.1,0.6,-0.6257105193437896
18,0.1,0.7,0.8437247124273307
19,0.1,0.8,4.015212482691981
20,0.1,0.9,9.72313478406245
21,0.1,0.99,3.2868642145836975
22,0.2,0.01,-2.07806038049507
23,0.2,0.1,-1.8015428988075552
24,0.2,0.2,-1.468156811495214
25,0.2,0.3,-1.3233351338593935
26,0.2,0.4,-0.543511107027736
27,0.2,0.5,-0.21688200833686877
28,0.2,0.6,1.3753059345700387
29,0.2,0.7,5.114994347544228
30,0.2,0.8,9.69598986626649
31,0.2,0.9,4.571657882763713
32,0.2,0.99,0.8999143951610323
33,0.3,0.01,-1.8016516470598722
34,0.3,0.1,-1.381388829053711
35,0.3,0.2,-1.1790545165723134
36,0.3,0.3,-0.5509613984650583
37,0.3,0.4,0.3810612480815776
38,0.3,0.5,1.7965832182276174
39,0.3,0.6,5.505129228708232
40,0.3,0.7,9.599996661596531
41,0.3,0.8,5.793214728604536
42,0.3,0.9,1.5835914456512241
43,0.3,0.99,-0.3561533387671344
44,0.4,0.01,-1.4590901981964268
45,0.4,0.1,-1.252946346181161
46,0.4,0.2,-0.389284683294761
47,0.4,0.3,0.24519397867480544
48,0.4,0.4,1.9720956991568235
49,0.4,0.5,5.606285930751692
50,0.4,0.6,9.491755265391863
51,0.4,0.7,6.331234582298704
52,0.4,0.8,1.9874697887291846
53,0.4,0.9,-0.010343173082764837
54,0.4,0.99,-0.7818881635021935
55,0.5,0.01,-1.3169574767635084
56,0.5,0.1,-0.9145657403668139
57,0.5,0.2,0.20597765087664566
58,0.5,0.3,1.775702543503633
59,0.5,0.4,5.419871128623131
60,0.5,0.5,9.304059985453797
61,0.5,0.6,6.2892901313708105
62,0.5,0.7,2.47356320451641
63,0.5,0.8,0.25656009641946165
64,0.5,0.9,-0.63284579788861
65,0.5,0.99,-1.2969222839377084
66,0.6,0.01,-0.8365551798408642
67,0.6,0.1,-0.08589503474780442
68,0.6,0.2,1.7702607249064135
69,0.6,0.3,5.055362530913556
70,0.6,0.4,9.033075139954885
71,0.6,0.5,6.40825621423554
72,0.6,0.6,2.275874409471725
73,0.6,0.7,0.3813417018217161
74,0.6,0.8,-0.3885731773357497
75,0.6,0.9,-1.2531905649105202
76,0.6,0.99,-1.476938365087583
77,0.7,0.01,0.005430881577747873
78,0.7,0.1,1.1322554382942087
79,0.7,0.2,4.570668548609183
80,0.7,0.3,8.749006222609149
81,0.7,0.4,6.122495363175706
82,0.7,0.5,2.4638454948703234
83,0.7,0.6,0.31296949882808706
84,0.7,0.7,-0.4159069778870694
85,0.7,0.8,-1.0927969451048478
86,0.7,0.9,-1.6010791038470975
87,0.7,0.99,-1.6301421128868552
88,0.8,0.01,0.63203621474544
89,0.8,0.1,3.5934985366990913
90,0.8,0.2,7.946588935978026
91,0.8,0.3,5.572346230562452
92,0.8,0.4,1.9399038345919029
93,0.8,0.5,0.1240115478113486
94,0.8,0.6,-0.5089963538911991
95,0.8,0.7,-1.2199242074434697
96,0.8,0.8,-1.407946217322379
97,0.8,0.9,-2.046282074824792
98,0.8,0.99,-1.9282965831481238
99,0.9,0.01,2.0615570805516636
100,0.9,0.1,6.444494733277947
101,0.9,0.2,4.106708410835261
102,0.9,0.3,1.6043162750731268
103,0.9,0.4,-0.06159293102275504
104,0.9,0.5,-0.7097433673976085
105,0.9,0.6,-1.3147851622272677
106,0.9,0.7,-1.7266053022411567
107,0.9,0.8,-1.5493418639243848
108,0.9,0.9,-1.7334438255030549
109,0.9,0.99,-1.9762491805663087
110,0.99,0.01,2.0083857252554345
111,0.99,0.1,2.2035215703876143
112,0.99,0.2,0.5623434449476596
113,0.99,0.3,-0.24980773386140975
114,0.99,0.4,-0.6138467778541297
115,0.99,0.5,-0.38676327943186456
116,0.99,0.6,-0.8758436537351487
117,0.99,0.7,-0.7810893961196236
118,0.99,0.8,-1.1862007130473053
119,0.99,0.9,-0.9637675801559181
120,0.99,0.99,-0.6634525802920727
