,P,cost,value
0,0.01,0.01,-10.000000000000028
1,0.01,0.1,-10.000000000000028
2,0.01,0.2,-10.000000000000028
3,0.01,0.3,-10.000000000000028
4,0.01,0.4,-10.000000000000027
5,0.01,0.5,-10.000000000000028
6,0.01,0.6,-10.000000000000028
7,0.01,0.7,-10.000000000000028
8,0.01,0.8,-10.000000000000027
9,0.01,0.9,-10.000000000000027
10,0.01,0.99,-10.000000000000018
11,0.1,0.01,-10.000000000000027
12,0.1,0.1,-10.000000000000027
13,0.1,0.2,-10.000000000000027
14,0.1,0.3,-10.000000000000027
15,0.1,0.4,-10.000000000000027
16,0.1,0.5,-10.000000000000027
17,0.1,0.6,-10.000000000000027
18,0.1,0.7,-10.000000000000025
19,0.1,0.8,-10.000000000000025
20,0.1,0.9,-10.000000000000016
21,0.1,0.99,-10.000000000000025
22,0.2,0.01,-10.000000000000028
23,0.2,0.1,-10.000000000000028
24,0.2,0.2,-10.000000000000028
25,0.2,0.3,-10.000000000000027
26,0.2,0.4,-10.000000000000025
27,0.2,0.5,-10.000000000000025
28,0.2,0.6,-10.000000000000021
29,0.2,0.7,-10.000000000000027
30,0.2,0.8,-10.000000000000016
31,0.2,0.9,-10.000000000000032
32,0.2,0.99,-10.000000000000021
33,0.3,0.01,-10.000000000000027
34,0.3,0.1,-10.000000000000028
35,0.3,0.2,-10.000000000000027
36,0.3,0.3,-10.000000000000027
37,0.3,0.4,-10.000000000000021
38,0.3,0.5,-10.000000000000021
39,0.3,0.6,-10.000000000000034
40,0.3,0.7,-10.00000000000002
41,0.3,0.8,-10.000000000000032
42,0.3,0.9,-10.000000000000021
43,0.3,0.99,-10.000000000000021
44,0.4,0.01,-10.000000000000028
45,0.4,0.1,-10.000000000000027
46,0.4,0.2,-10.000000000000027
47,0.4,0.3,-10.000000000000027
48,0.4,0.4,-10.000000000000021
49,0.4,0.5,-10.000000000000027
50,0.4,0.6,-10.000000000000018
51,0.4,0.7,-10.000000000000034
52,0.4,0.8,-10.000000000000021
53,0.4,0.9,-10.000000000000021
54,0.4,0.99,-10.000000000000027
55,0.5,0.01,-10.000000000000027
56,0.5,0.1,-10.000000000000027
57,0.5,0.2,-10.000000000000021
58,0.5,0.3,-10.000000000000021
59,0.5,0.4,-10.000000000000034
60,0.5,0.5,-10.000000000000009
61,0.5,0.6,-10.000000000000028
62,0.5,0.7,-10.000000000000025
63,0.5,0.8,-10.000000000000021
64,0.5,0.9,-10.000000000000028
65,0.5,0.99,-10.000000000000027
66,0.6,0.01,-10.000000000000027
67,0.6,0.1,-10.000000000000027
68,0.6,0.2,-10.000000000000027
69,0.6,0.3,-10.000000000000028
70,0.6,0.4,-10.000000000000014
71,0.6,0.5,-10.000000000000028
72,0.6,0.6,-10.000000000000027
73,0.6,0.7,-10.000000000000021
74,0.6,0.8,-10.000000000000025
75,0.6,0.9,-10.000000000000027
76,0.6,0.99,-10.000000000000028
77,0.7,0.01,-10.000000000000027
78,0.7,0.1,-10.000000000000025
79,0.7,0.2,-10.000000000000028
80,0.7,0.3,-10.000000000000007
81,0.7,0.4,-10.000000000000028
82,0.7,0.5,-10.000000000000027
83,0.7,0.6,-10.000000000000025
84,0.7,0.7,-10.000000000000027
85,0.7,0.8,-10.000000000000028
86,0.7,0.9,-10.000000000000028
87,0.7,0.99,-10.000000000000028
88,0.8,0.01,-10.000000000000021
89,0.8,0.1,-10.000000000000028
90,0.8,0.2,-10.000000000000009
91,0.8,0.3,-10.000000000000028
92,0.8,0.4,-10.000000000000027
93,0.8,0.5,-10.000000000000027
94,0.8,0.6,-10.000000000000027
95,0.8,0.7,-10.000000000000028
96,0.8,0.8,-10.000000000000028
97,0.8,0.9,-10.000000000000028
98,0.8,0.99,-10.000000000000028
99,0.9,0.01,-10.000000000000036
100,0.9,0.1,-10.000000000000014
101,0.9,0.2,-10.000000000000028
102,0.9,0.3,-10.000000000000025
103,0.9,0.4,-10.000000000000025
104,0.9,0.5,-10.000000000000025
105,0.9,0.6,-10.000000000000027
106,0.9,0.7,-10.000000000000028
107,0.9,0.8,-10.000000000000027
108,0.9,0.9,-10.000000000000027
109,0.9,0.99,-10.000000000000028
110,0.99,0.01,-10.000000000000014
111,0.99,0.1,-10.000000000000032
112,0.99,0.2,-10.000000000000025
113,0.99,0.3,-10.000000000000027
114,0.99,0.4,-10.000000000000027
115,0.99,0.5,-10.000000000000027
116,0.99,0.6,-10.000000000000027
117,0.99,0.7,-10.000000000000027
118,0.99,0.8,-10.000000000000027
119,0.99,0.9,-10.000000000000028
120,0.99,0.99,-10.000000000000027
