,P,cost,value
0,0.01,0.01,9.999999943524626
1,0.01,0.1,9.999999946337677
2,0.01,0.2,9.999999946231728
3,0.01,0.3,9.999999931629848
4,0.01,0.4,9.99999989270513
5,0.01,0.5,9.999999772525584
6,0.01,0.6,9.999999423767886
7,0.01,0.7,9.999998838745515
8,0.01,0.8,9.999994353664091
9,0.01,0.9,9.999813835413903
10,0.01,0.99,9.760947844027086
11,0.1,0.01,9.999998666730397
12,0.1,0.1,9.99999824469837
13,0.1,0.2,9.999997989524571
14,0.1,0.3,9.999995879082954
15,0.1,0.4,9.999991233564154
16,0.1,0.5,9.999982199080883
17,0.1,0.6,9.999942998744876
18,0.1,0.7,9.999634397131228
19,0.1,0.8,9.992018961556132
20,0.1,0.9,9.719368142944706
21,0.1,0.99,9.998767825310551
22,0.2,0.01,9.999993916014768
23,0.2,0.1,9.999992374403758
24,0.2,0.2,9.9999868638804
25,0.2,0.3,9.999975462044366
26,0.2,0.4,9.999949667746112
27,0.2,0.5,9.999819112663195
28,0.2,0.6,9.999035228960388
29,0.2,0.7,9.976976638447464
30,0.2,0.8,9.68528603193777
31,0.2,0.9,9.980654457559318
32,0.2,0.99,9.999602607186782
33,0.3,0.01,9.99998156463552
34,0.3,0.1,9.999977545658641
35,0.3,0.2,9.999957102928324
36,0.3,0.3,9.999878951855255
37,0.3,0.4,9.999576851935245
38,0.3,0.5,9.99718377784961
39,0.3,0.6,9.959877887356322
40,0.3,0.7,9.604623501567495
41,0.3,0.8,9.954737294238946
42,0.3,0.9,9.998570591437955
43,0.3,0.99,9.99974952454478
44,0.4,0.01,9.99995314263905
45,0.4,0.1,9.99991914527629
46,0.4,0.2,9.999760778733185
47,0.4,0.3,9.999206085688447
48,0.4,0.4,9.993484533904336
49,0.4,0.5,9.92750982254757
50,0.4,0.6,9.502150549997058
51,0.4,0.7,9.891360763602508
52,0.4,0.8,9.996430461362056
53,0.4,0.9,9.999631929249377
54,0.4,0.99,9.9998684090641
55,0.5,0.01,9.999846188200582
56,0.5,0.1,9.99962223452881
57,0.5,0.2,9.998928329072285
58,0.5,0.3,9.99234225758747
59,0.5,0.4,9.923271153766215
60,0.5,0.5,9.32097370617525
61,0.5,0.6,9.89548635140965
62,0.5,0.7,9.993837698590234
63,0.5,0.8,9.999198033663344
64,0.5,0.9,9.99979513449727
65,0.5,0.99,9.999913236880424
66,0.6,0.01,9.999479791417336
67,0.6,0.1,9.998721709101172
68,0.6,0.2,9.991506366494884
69,0.6,0.3,9.872534125525668
70,0.6,0.4,9.034915466401273
71,0.6,0.5,9.809132184164945
72,0.6,0.6,9.989189270203674
73,0.6,0.7,9.99887807300999
74,0.6,0.8,9.999699065106999
75,0.6,0.9,9.999887872749278
76,0.6,0.99,9.999937159932044
77,0.7,0.01,9.997802186695557
78,0.7,0.1,9.989057959923286
79,0.7,0.2,9.777259961701224
80,0.7,0.3,8.747079152895218
81,0.7,0.4,9.64779312683154
82,0.7,0.5,9.985524505610485
83,0.7,0.6,9.997496904821825
84,0.7,0.7,9.999555405074666
85,0.7,0.8,9.999845752435721
86,0.7,0.9,9.999917554852788
87,0.7,0.99,9.99995681397204
88,0.8,0.01,9.974362254525296
89,0.8,0.1,9.732099042636857
90,0.8,0.2,7.9606225687451335
91,0.8,0.3,9.520571879706205
92,0.8,0.4,9.975836203542258
93,0.8,0.5,9.997933475509932
94,0.8,0.6,9.999350010693249
95,0.8,0.7,9.999789358156201
96,0.8,0.8,9.99990966730951
97,0.8,0.9,9.999953093664452
98,0.8,0.99,9.999966808329322
99,0.9,0.01,9.464422931831113
100,0.9,0.1,6.449281154419948
101,0.9,0.2,9.224592037163358
102,0.9,0.3,9.962995263490686
103,0.9,0.4,9.996795566486508
104,0.9,0.5,9.999163428071531
105,0.9,0.6,9.99973942165808
106,0.9,0.7,9.999875180870934
107,0.9,0.8,9.999943222186326
108,0.9,0.9,9.999964703310285
109,0.9,0.99,9.999975023515312
110,0.99,0.01,2.008300429459581
111,0.99,0.1,8.165331671977718
112,0.99,0.2,9.94548468796036
113,0.99,0.3,9.995390476995759
114,0.99,0.4,9.999102664876231
115,0.99,0.5,9.999698027291776
116,0.99,0.6,9.999873074625153
117,0.99,0.7,9.999936767374379
118,0.99,0.8,9.99996722799101
119,0.99,0.9,9.999979540464754
120,0.99,0.99,9.999986413178345
