,P,cost,value
0,0.01,0.01,9.999999716761494
1,0.01,0.1,9.996216733361877
2,0.01,0.2,9.779929149603106
3,0.01,0.3,8.222118756637503
4,0.01,0.4,3.9840105089172906
5,0.01,0.5,-0.8397830806584761
6,0.01,0.6,-1.5063090760461606
7,0.01,0.7,-1.6624866172199046
8,0.01,0.8,-1.6213666788814676
9,0.01,0.9,0.5606382783568674
10,0.01,0.99,9.102035383023711
11,0.1,0.01,9.999998666738923
12,0.1,0.1,9.999970457267809
13,0.1,0.2,9.998845476917364
14,0.1,0.3,9.953851898298963
15,0.1,0.4,8.298592259780026
16,0.1,0.5,-1.123742278649031
17,0.1,0.6,-6.875498341027239
18,0.1,0.7,-8.146153400653018
19,0.1,0.8,-7.7814937998592075
20,0.1,0.9,1.9127423269582176
21,0.1,0.99,9.998766869389414
22,0.2,0.01,9.999993916014768
23,0.2,0.1,9.999985361893446
24,0.2,0.2,9.999709862320344
25,0.2,0.3,9.990690843176779
26,0.2,0.4,9.432671038720093
27,0.2,0.5,-0.21688200833686877
28,0.2,0.6,-6.803184816233458
29,0.2,0.7,-7.143270122458469
30,0.2,0.8,0.7266815824863757
31,0.2,0.9,9.921336417369718
32,0.2,0.99,9.999602607186782
33,0.3,0.01,9.99998156463552
34,0.3,0.1,9.999968728919267
35,0.3,0.2,9.999790054793351
36,0.3,0.3,9.996086639392946
37,0.3,0.4,9.784052975760062
38,0.3,0.5,1.7965832182276174
39,0.3,0.6,-4.20554768468698
40,0.3,0.7,0.8274912428085807
41,0.3,0.8,9.701012382990859
42,0.3,0.9,9.997795283727053
43,0.3,0.99,9.99974952454478
44,0.4,0.01,9.99995314263905
45,0.4,0.1,9.999908374354034
46,0.4,0.2,9.999710414927016
47,0.4,0.3,9.99781684493217
48,0.4,0.4,9.906360261571656
49,0.4,0.5,5.606285930751692
50,0.4,0.6,4.706476205139613
51,0.4,0.7,9.612717472359979
52,0.4,0.8,9.993559168353038
53,0.4,0.9,9.999607705477082
54,0.4,0.99,9.9998684090641
55,0.5,0.01,9.999846188200582
56,0.5,0.1,9.999622790375922
57,0.5,0.2,9.998928809722505
58,0.5,0.3,9.992365065522145
59,0.5,0.4,9.923291716243916
60,0.5,0.5,9.304059985453797
61,0.5,0.6,9.89577698719244
62,0.5,0.7,9.99384029909461
63,0.5,0.8,9.999201513510673
64,0.5,0.9,9.999796242480294
65,0.5,0.99,9.999913236880424
66,0.6,0.01,9.999479791417336
67,0.6,0.1,9.998686058615899
68,0.6,0.2,9.987630752476552
69,0.6,0.3,9.768714022129213
70,0.6,0.4,6.539782282904789
71,0.6,0.5,6.40825621423554
72,0.6,0.6,9.867609674312774
73,0.6,0.7,9.997361708342162
74,0.6,0.8,9.999638776316488
75,0.6,0.9,9.999882016499281
76,0.6,0.99,9.999937159932044
77,0.7,0.01,9.997802186695557
78,0.7,0.1,9.984536918342597
79,0.7,0.2,9.614120604435787
80,0.7,0.3,3.580268081526246
81,0.7,0.4,-3.3942485963929103
82,0.7,0.5,2.4638454948703234
83,0.7,0.6,9.716163448658916
84,0.7,0.7,9.993823664678763
85,0.7,0.8,9.99967022168455
86,0.7,0.9,9.999906131222483
87,0.7,0.99,9.99995681397204
88,0.8,0.01,9.974362254525296
89,0.8,0.1,9.667793306741505
90,0.8,0.2,3.199579294429282
91,0.8,0.3,-5.849797207354359
92,0.8,0.4,-6.32182712128666
93,0.8,0.5,0.1240115478113486
94,0.8,0.6,9.389009429672836
95,0.8,0.7,9.987799951867686
96,0.8,0.8,9.999649257514761
97,0.8,0.9,9.999938473594302
98,0.8,0.99,9.999966808329322
99,0.9,0.01,9.464426646142103
100,0.9,0.1,3.7760249707259645
101,0.9,0.2,-6.450366531284683
102,0.9,0.3,-7.900554838512318
103,0.9,0.4,-6.381357304559638
104,0.9,0.5,-0.7097433673976085
105,0.9,0.6,8.323435119111618
106,0.9,0.7,9.940261839251296
107,0.9,0.8,9.99842659309766
108,0.9,0.9,9.99992435604064
109,0.9,0.99,9.99997502300104
110,0.99,0.01,2.276748106528898
111,0.99,0.1,0.890802848669655
112,0.99,0.2,-1.0748693815602377
113,0.99,0.3,-1.6189299935069748
114,0.99,0.4,-1.6439865023174425
115,0.99,0.5,-0.38676327943186456
116,0.99,0.6,3.8834829395388972
117,0.99,0.7,8.092702364514293
118,0.99,0.8,9.761595670046757
119,0.99,0.9,9.996659627932562
120,0.99,0.99,9.99998339871012
