,P,cost,value
0,0.01,0.01,-1.0403481733188302
1,0.01,0.1,-1.271240473592679
2,0.01,0.2,-1.080512199085967
3,0.01,0.3,-0.7116844786028578
4,0.01,0.4,-1.068108811385888
5,0.01,0.5,-0.8439562188285964
6,0.01,0.6,-0.592137216673368
7,0.01,0.7,-0.1644838383475167
8,0.01,0.8,-0.17557653492832515
9,0.01,0.9,2.335927235279122
10,0.01,0.99,9.758854789311522
11,0.1,0.01,-2.260449298289341
12,0.1,0.1,-1.9411237304320483
13,0.1,0.2,-2.063720772878837
14,0.1,0.3,-1.9233725059817208
15,0.1,0.4,-1.3483438045602323
16,0.1,0.5,-1.1122528357474506
17,0.1,0.6,-0.6038888577194413
18,0.1,0.7,0.8432168045914689
19,0.1,0.8,4.007264796008241
20,0.1,0.9,9.722137667360988
21,0.1,0.99,3.273215440545003
22,0.2,0.01,-2.0465177042085974
23,0.2,0.1,-1.7693414493430453
24,0.2,0.2,-1.4543739966912939
25,0.2,0.3,-1.295105837353372
26,0.2,0.4,-0.5138578732965547
27,0.2,0.5,-0.2224060305491446
28,0.2,0.6,1.3950298055792603
29,0.2,0.7,5.110708554863372
30,0.2,0.8,9.696064369747312
31,0.2,0.9,4.558449146845643
32,0.2,0.99,0.9083156225749218
33,0.3,0.01,-1.812255881852317
34,0.3,0.1,-1.3839803074336932
35,0.3,0.2,-1.1793317098676794
36,0.3,0.3,-0.5473533199913281
37,0.3,0.4,0.3802319136748064
38,0.3,0.5,1.7962783721838638
39,0.3,0.6,5.504590107803036
40,0.3,0.7,9.598780002453568
41,0.3,0.8,5.798748895643903
42,0.3,0.9,1.5835208506944611
43,0.3,0.99,-0.344112260178756
44,0.4,0.01,-1.5029075089086334
45,0.4,0.1,-1.2809099324825144
46,0.4,0.2,-0.3951265381757503
47,0.4,0.3,0.23434833283598827
48,0.4,0.4,1.971781069117167
49,0.4,0.5,5.587061877679201
50,0.4,0.6,9.491556242681941
51,0.4,0.7,6.342091208085377
52,0.4,0.8,1.9919829705650525
53,0.4,0.9,-0.019432006784000165
54,0.4,0.99,-0.7784750899282765
55,0.5,0.01,-1.2182486936996346
56,0.5,0.1,-0.8358999600847467
57,0.5,0.2,0.29449717966258365
58,0.5,0.3,1.8336794439392081
59,0.5,0.4,5.4357457874157795
60,0.5,0.5,9.312989566032515
61,0.5,0.6,6.31053585598945
62,0.5,0.7,2.474608431233679
63,0.5,0.8,0.20050990003600988
64,0.5,0.9,-0.7629739910723987
65,0.5,0.99,-1.387529332825872
66,0.6,0.01,-0.8490622218844085
67,0.6,0.1,-0.08732100505039425
68,0.6,0.2,1.7567588147730353
69,0.6,0.3,5.0474882730436565
70,0.6,0.4,9.035626427898961
71,0.6,0.5,6.409936389996812
72,0.6,0.6,2.2832374393226957
73,0.6,0.7,0.39231063326555504
74,0.6,0.8,-0.4019538419663351
75,0.6,0.9,-1.2560870151394927
76,0.6,0.99,-1.4815996934680422
77,0.7,0.01,-0.02029193748675041
78,0.7,0.1,1.110269333288477
79,0.7,0.2,4.5502112395533665
80,0.7,0.3,8.75593598097766
81,0.7,0.4,6.112814363412862
82,0.7,0.5,2.4494346341936715
83,0.7,0.6,0.28794407291476815
84,0.7,0.7,-0.4193468948516049
85,0.7,0.8,-1.1222206847264526
86,0.7,0.9,-1.607768888708688
87,0.7,0.99,-1.6487690003650686
88,0.8,0.01,0.605109606021276
89,0.8,0.1,3.5705201104241056
90,0.8,0.2,7.949535738674172
91,0.8,0.3,5.563320784717714
92,0.8,0.4,1.9146333587463764
93,0.8,0.5,0.11082090295461852
94,0.8,0.6,-0.5320209738647533
95,0.8,0.7,-1.2447649170689001
96,0.8,0.8,-1.4227412262261796
97,0.8,0.9,-2.091561117670781
98,0.8,0.99,-1.9525606786254333
99,0.9,0.01,2.0538688134528207
100,0.9,0.1,6.450020813688586
101,0.9,0.2,4.1205908991679605
102,0.9,0.3,1.601209151959782
103,0.9,0.4,-0.07401763805122133
104,0.9,0.5,-0.731692378976496
105,0.9,0.6,-1.333494191678142
106,0.9,0.7,-1.7127822788772826
107,0.9,0.8,-1.5474163676773167
108,0.9,0.9,-1.7497977482557279
109,0.9,0.99,-1.9963609195009735
110,0.99,0.01,2.0080460983891713
111,0.99,0.1,2.2031587337206093
112,0.99,0.2,0.5616566471178775
113,0.99,0.3,-0.25193778092572566
114,0.99,0.4,-0.6152017426721659
115,0.99,0.5,-0.38794668331067106
116,0.99,0.6,-0.8778060121943349
117,0.99,0.7,-0.7815941454739544
118,0.99,0.8,-1.1871991238509803
119,0.99,0.9,-0.9655897791098184
120,0.99,0.99,-0.6647774366679222
