,P,cost,value
0,0.01,0.01,9.999999767334376
1,0.01,0.1,9.999999815248815
2,0.01,0.2,9.999999877659288
3,0.01,0.3,9.999999861145536
4,0.01,0.4,9.999999890532255
5,0.01,0.5,9.999999772525584
6,0.01,0.6,9.999999416774498
7,0.01,0.7,9.999996986826824
8,0.01,0.8,9.999961943987417
9,0.01,0.9,9.99589729995407
10,0.01,0.99,1.8269003873682244
11,0.1,0.01,9.999976433115311
12,0.1,0.1,9.999978147540421
13,0.1,0.2,9.999984184729719
14,0.1,0.3,9.999985915337463
15,0.1,0.4,9.999990684524452
16,0.1,0.5,9.999982199080883
17,0.1,0.6,9.999912295404588
18,0.1,0.7,9.99857931569755
19,0.1,0.8,9.859579174790309
20,0.1,0.9,-0.21836953108208462
21,0.1,0.99,-9.603943529682583
22,0.2,0.01,9.999515042127555
23,0.2,0.1,9.999685298775443
24,0.2,0.2,9.99974554332818
25,0.2,0.3,9.999842311146958
26,0.2,0.4,9.999901068145018
27,0.2,0.5,9.999819112663195
28,0.2,0.6,9.997268874957117
29,0.2,0.7,9.785668967127432
30,0.2,0.8,0.6303333527361534
31,0.2,0.9,-9.052587761935312
32,0.2,0.99,-9.765307580904532
33,0.3,0.01,9.991707002453374
34,0.3,0.1,9.990925731939885
35,0.3,0.2,9.994568903441662
36,0.3,0.3,9.996308589427475
37,0.3,0.4,9.997816999904979
38,0.3,0.5,9.99718377784961
39,0.3,0.6,9.820059969078933
40,0.3,0.7,2.8981992641431527
41,0.3,0.8,-7.81870514078732
42,0.3,0.9,-9.396978807695364
43,0.3,0.99,-9.663550055191443
44,0.4,0.01,9.524823158770241
45,0.4,0.1,9.614241443621383
46,0.4,0.2,9.687107054403437
47,0.4,0.3,9.803846693729334
48,0.4,0.4,9.90930461197684
49,0.4,0.5,9.92750982254757
50,0.4,0.6,6.0677314067060495
51,0.4,0.7,-4.192300946013136
52,0.4,0.8,-7.920593095901758
53,0.4,0.9,-8.674258159718109
54,0.4,0.99,-8.92107775445049
55,0.5,0.01,-1.2724902180256539
56,0.5,0.1,-0.892717037794687
57,0.5,0.2,0.23806618577996932
58,0.5,0.3,1.8146384791141794
59,0.5,0.4,5.467866522623818
60,0.5,0.5,9.32097370617525
61,0.5,0.6,6.349003423976183
62,0.5,0.7,2.5261618563080046
63,0.5,0.8,0.3003227065005386
64,0.5,0.9,-0.6177742860901424
65,0.5,0.99,-1.2700449164642589
66,0.6,0.01,-8.884134294112144
67,0.6,0.1,-8.763784471439624
68,0.6,0.2,-7.883581268558547
69,0.6,0.3,-5.196042576829193
70,0.6,0.4,3.373073000265627
71,0.6,0.5,9.809132184164945
72,0.6,0.6,9.891590204473095
73,0.6,0.7,9.817419378381022
74,0.6,0.8,9.698012400382082
75,0.6,0.9,9.598204643690051
76,0.6,0.99,9.531802492200455
77,0.7,0.01,-9.678063467858468
78,0.7,0.1,-9.377765246505636
79,0.7,0.2,-8.21514597248174
80,0.7,0.3,-0.8762811993813937
81,0.7,0.4,9.189665052983933
82,0.7,0.5,9.985524505610485
83,0.7,0.6,9.996377465692788
84,0.7,0.7,9.994503205594643
85,0.7,0.8,9.991460885846609
86,0.7,0.9,9.993654048412676
87,0.7,0.99,9.991882709326374
88,0.8,0.01,-9.700912549011736
89,0.8,0.1,-9.072937472022819
90,0.8,0.2,-3.2701348008739295
91,0.8,0.3,8.766862364275733
92,0.8,0.4,9.963418138262908
93,0.8,0.5,9.997933475509932
94,0.8,0.6,9.999183914770045
95,0.8,0.7,9.999492434167895
96,0.8,0.8,9.999622842718184
97,0.8,0.9,9.999589481208057
98,0.8,0.99,9.999478751163945
99,0.9,0.01,-9.29369912904127
100,0.9,0.1,-4.7840188237488865
101,0.9,0.2,8.564903050824425
102,0.9,0.3,9.942831830329549
103,0.9,0.4,9.996347118661818
104,0.9,0.5,9.999163428071531
105,0.9,0.6,9.99973549351017
106,0.9,0.7,9.999852843248354
107,0.9,0.8,9.999911652247441
108,0.9,0.9,9.999920667837017
109,0.9,0.99,9.999928578909017
110,0.99,0.01,-5.852773431773275
111,0.99,0.1,8.03554552876464
112,0.99,0.2,9.941880320224275
113,0.99,0.3,9.995358907411106
114,0.99,0.4,9.999097640507834
115,0.99,0.5,9.999698027291776
116,0.99,0.6,9.999872901675195
117,0.99,0.7,9.999936839509292
118,0.99,0.8,9.999966268491846
119,0.99,0.9,9.999978385937471
120,0.99,0.99,9.999985242391634
