,P,cost,value
0,0.01,0.01,-1.0401257880753587
1,0.01,0.1,-1.2714831494005399
2,0.01,0.2,-1.0804475581587467
3,0.01,0.3,-0.7113537119762721
4,0.01,0.4,-1.0685315973667655
5,0.01,0.5,-0.8439914464261302
6,0.01,0.6,-0.5916552350757633
7,0.01,0.7,-0.1667355313445257
8,0.01,0.8,-0.17771045586334605
9,0.01,0.9,2.335500849184871
10,0.01,0.99,9.758854789311522
11,0.1,0.01,-2.2569336748525224
12,0.1,0.1,-1.9329186287091005
13,0.1,0.2,-2.0636789582704522
14,0.1,0.3,-1.926374120466653
15,0.1,0.4,-1.3477962242898256
16,0.1,0.5,-1.1124487096549496
17,0.1,0.6,-0.6033986236895506
18,0.1,0.7,0.842872755007179
19,0.1,0.8,4.006191444085009
20,0.1,0.9,9.722137667360988
21,0.1,0.99,3.2760980890524043
22,0.2,0.01,-2.047727372864779
23,0.2,0.1,-1.7691875926189202
24,0.2,0.2,-1.4556561434985023
25,0.2,0.3,-1.294979158882663
26,0.2,0.4,-0.513749573240136
27,0.2,0.5,-0.22248604509005832
28,0.2,0.6,1.3928759142722038
29,0.2,0.7,5.103700734755615
30,0.2,0.8,9.69582538323945
31,0.2,0.9,4.560699720448219
32,0.2,0.99,0.9081555376775874
33,0.3,0.01,-1.8120400549568674
34,0.3,0.1,-1.3841308581620295
35,0.3,0.2,-1.1793682973271373
36,0.3,0.3,-0.547225510425889
37,0.3,0.4,0.3790794389268697
38,0.3,0.5,1.792595508028628
39,0.3,0.6,5.503723186607125
40,0.3,0.7,9.598780002453568
41,0.3,0.8,5.798854863124909
42,0.3,0.9,1.5835929313586259
43,0.3,0.99,-0.34473884177605213
44,0.4,0.01,-1.5046567756745655
45,0.4,0.1,-1.2802885188314326
46,0.4,0.2,-0.39515450681685327
47,0.4,0.3,0.23429848729778543
48,0.4,0.4,1.9710384984308291
49,0.4,0.5,5.5863005239282915
50,0.4,0.6,9.491556242681941
51,0.4,0.7,6.342465825160668
52,0.4,0.8,1.9907691212835057
53,0.4,0.9,-0.018788068940603867
54,0.4,0.99,-0.7786396862311074
55,0.5,0.01,-1.2188968031800693
56,0.5,0.1,-0.8381444064743448
57,0.5,0.2,0.29436836833002417
58,0.5,0.3,1.8331417546810576
59,0.5,0.4,5.437682711921075
60,0.5,0.5,9.312989566032515
61,0.5,0.6,6.313984219388998
62,0.5,0.7,2.474801126147267
63,0.5,0.8,0.20312207459246245
64,0.5,0.9,-0.7441116482156253
65,0.5,0.99,-1.3901084362818517
66,0.6,0.01,-0.8490622218844085
67,0.6,0.1,-0.08711580483574484
68,0.6,0.2,1.7565461278686088
69,0.6,0.3,5.047538877381326
70,0.6,0.4,9.035626427898961
71,0.6,0.5,6.4108720957733345
72,0.6,0.6,2.2815770886707196
73,0.6,0.7,0.3919340725762522
74,0.6,0.8,-0.401234224697595
75,0.6,0.9,-1.2593691808759164
76,0.6,0.99,-1.4781178408508524
77,0.7,0.01,-0.020324342513057123
78,0.7,0.1,1.1103327623743884
79,0.7,0.2,4.550091955510417
80,0.7,0.3,8.75593598097766
81,0.7,0.4,6.113168170741593
82,0.7,0.5,2.449722031539479
83,0.7,0.6,0.28736692570628264
84,0.7,0.7,-0.4225204779990732
85,0.7,0.8,-1.1231399765728427
86,0.7,0.9,-1.6049006279869205
87,0.7,0.99,-1.6489967683355375
88,0.8,0.01,0.6063744396048445
89,0.8,0.1,3.5694409564836755
90,0.8,0.2,7.949535738674172
91,0.8,0.3,5.564303024206501
92,0.8,0.4,1.9075492731070272
93,0.8,0.5,0.10885296291580415
94,0.8,0.6,-0.5319229876685868
95,0.8,0.7,-1.2422530645073764
96,0.8,0.8,-1.423812505532283
97,0.8,0.9,-2.0894850253100077
98,0.8,0.99,-1.9521878539722117
99,0.9,0.01,2.0536235382706853
100,0.9,0.1,6.450020813688586
101,0.9,0.2,4.12210257612157
102,0.9,0.3,1.602657252356978
103,0.9,0.4,-0.07342161092911811
104,0.9,0.5,-0.7289353873415318
105,0.9,0.6,-1.3345233286870262
106,0.9,0.7,-1.711096269894727
107,0.9,0.8,-1.553329607878543
108,0.9,0.9,-1.7500904547840734
109,0.9,0.99,-1.9925785654181063
110,0.99,0.01,2.0080460983891713
111,0.99,0.1,2.2030682235155794
112,0.99,0.2,0.5609535913543082
113,0.99,0.3,-0.25149471648659
114,0.99,0.4,-0.6150015830960119
115,0.99,0.5,-0.38718874329307984
116,0.99,0.6,-0.8771248716726677
117,0.99,0.7,-0.7817084008707204
118,0.99,0.8,-1.187731131815888
119,0.99,0.9,-0.9643237275990377
120,0.99,0.99,-0.664660062843947
