,P,cost,value
0,0.01,0.01,-1.5102600938172996
1,0.01,0.1,-1.6790084330613728
2,0.01,0.2,-1.4990058442901875
3,0.01,0.3,-1.2014921130990803
4,0.01,0.4,-1.5963921048154224
5,0.01,0.5,-1.2854133700061845
6,0.01,0.6,-1.124294452854828
7,0.01,0.7,-0.8984612409720159
8,0.01,0.8,-0.8660187625237016
9,0.01,0.9,1.0712866294898569
10,0.01,0.99,9.149238606001916
11,0.1,0.01,-6.380659948018322
12,0.1,0.1,-6.204029290316734
13,0.1,0.2,-6.244143361229146
14,0.1,0.3,-6.124610358160341
15,0.1,0.4,-5.901442653294425
16,0.1,0.5,-5.565265376018051
17,0.1,0.6,-5.230127820854968
18,0.1,0.7,-4.14381010330846
19,0.1,0.8,-1.484565323036722
20,0.1,0.9,8.614752849865507
21,0.1,0.99,8.188409923650514
22,0.2,0.01,-5.179790054381695
23,0.2,0.1,-5.139573149119553
24,0.2,0.2,-4.771339533439345
25,0.2,0.3,-4.544887588978862
26,0.2,0.4,-3.970993029858324
27,0.2,0.5,-3.72408346659555
28,0.2,0.6,-2.1892356583598893
29,0.2,0.7,1.450477774658516
30,0.2,0.8,9.180249434554103
31,0.2,0.9,7.551718229001545
32,0.2,0.99,4.9464277900079665
33,0.3,0.01,-3.8266378486582706
34,0.3,0.1,-3.6233827228785715
35,0.3,0.2,-3.379332815975935
36,0.3,0.3,-2.8252366111690055
37,0.3,0.4,-1.8431414315074124
38,0.3,0.5,-0.38342604996607976
39,0.3,0.6,3.298397967577622
40,0.3,0.7,9.314575728405728
41,0.3,0.8,7.558789577608357
42,0.3,0.9,4.032159785644655
43,0.3,0.99,2.1204291064197567
44,0.4,0.01,-2.648570843585221
45,0.4,0.1,-2.3749320293969616
46,0.4,0.2,-1.5707608644396154
47,0.4,0.3,-0.8641262853430182
48,0.4,0.4,0.8228045361886105
49,0.4,0.5,4.591376424330394
50,0.4,0.6,9.426283855124606
51,0.4,0.7,7.1987536334366675
52,0.4,0.8,3.1312647898616524
53,0.4,0.9,1.2411704020716736
54,0.4,0.99,0.41354195585480596
55,0.5,0.01,-1.2724902180256539
56,0.5,0.1,-0.892717037794687
57,0.5,0.2,0.23806618577996932
58,0.5,0.3,1.8146384791141794
59,0.5,0.4,5.467866522623818
60,0.5,0.5,9.32097370617525
61,0.5,0.6,6.349003423976183
62,0.5,0.7,2.5261618563080046
63,0.5,0.8,0.3003227065005386
64,0.5,0.9,-0.6177742860901424
65,0.5,0.99,-1.2700449164642589
66,0.6,0.01,0.2647668516071192
67,0.6,0.1,1.0342092082948953
68,0.6,0.2,2.83247228768135
69,0.6,0.3,5.932986697660119
70,0.6,0.4,9.119644237920511
71,0.6,0.5,5.513097767027761
72,0.6,0.6,1.2183716167321146
73,0.6,0.7,-0.6447450467836612
74,0.6,0.8,-1.4866650074995036
75,0.6,0.9,-2.3321753751059866
76,0.6,0.99,-2.622429357869762
77,0.7,0.01,2.4036195740163175
78,0.7,0.1,3.4442912105413708
79,0.7,0.2,6.4987093818511354
80,0.7,0.3,8.833533160978645
81,0.7,0.4,4.152496059158242
82,0.7,0.5,0.24955535861185027
83,0.7,0.6,-1.9426305979216771
84,0.7,0.7,-2.6249420178994534
85,0.7,0.8,-3.173858859327343
86,0.7,0.9,-3.7846676052358177
87,0.7,0.99,-3.7883702361352256
88,0.8,0.01,4.429884772359929
89,0.8,0.1,6.457354299220306
90,0.8,0.2,8.063593178410697
91,0.8,0.3,2.552278731686972
92,0.8,0.4,-1.5242784908448725
93,0.8,0.5,-3.2805685484637404
94,0.8,0.6,-3.890536184082778
95,0.8,0.7,-4.551612666212199
96,0.8,0.8,-4.807767884722368
97,0.8,0.9,-5.048175380427348
98,0.8,0.99,-5.023607737010987
99,0.9,0.01,6.51171619239152
100,0.9,0.1,6.513451245555971
101,0.9,0.2,-0.30658341643270737
102,0.9,0.3,-3.487247852891873
103,0.9,0.4,-4.681202365785818
104,0.9,0.5,-5.518378738809969
105,0.9,0.6,-5.8178100623627715
106,0.9,0.7,-6.0831780253653776
107,0.9,0.8,-6.057607781174492
108,0.9,0.9,-6.365106954817097
109,0.9,0.99,-6.233595310867301
110,0.99,0.01,2.238425985000335
111,0.99,0.1,1.0764832631297174
112,0.99,0.2,-0.5539325178613932
113,0.99,0.3,-0.9000672393237498
114,0.99,0.4,-1.344900676616935
115,0.99,0.5,-0.9260400150306097
116,0.99,0.6,-1.4142080503773111
117,0.99,0.7,-1.210642916645638
118,0.99,0.8,-1.5932430506412179
119,0.99,0.9,-1.3561789202874406
120,0.99,0.99,-1.2787772224593097
