,P,cost,value
0,0.01,0.01,2.322389034623879
1,0.01,0.1,2.2513512750465723
2,0.01,0.2,2.3252301520595537
3,0.01,0.3,2.4162425800716907
4,0.01,0.4,2.3363248027054464
5,0.01,0.5,2.3521567490328357
6,0.01,0.6,2.582180307968906
7,0.01,0.7,2.8906371615445483
8,0.01,0.8,2.829296894752384
9,0.01,0.9,4.622784166784615
10,0.01,0.99,9.362102912364897
11,0.1,0.01,2.1449291819740757
12,0.1,0.1,2.401483846813058
13,0.1,0.2,2.2194624693187084
14,0.1,0.3,2.3192508974552832
15,0.1,0.4,2.8779453981465
16,0.1,0.5,2.679027406453736
17,0.1,0.6,3.372595670330128
18,0.1,0.7,4.136681725395687
19,0.1,0.8,5.501414848578347
20,0.1,0.9,7.17057506290386
21,0.1,0.99,5.050234097106621
22,0.2,0.01,1.6456146561528002
23,0.2,0.1,1.6563731136255901
24,0.2,0.2,1.5588207511042396
25,0.2,0.3,2.1966855068377673
26,0.2,0.4,2.6794727485935024
27,0.2,0.5,2.6001251975436466
28,0.2,0.6,3.981735482158875
29,0.2,0.7,5.21669889973401
30,0.2,0.8,6.2585085162444685
31,0.2,0.9,5.160553985381329
32,0.2,0.99,5.109786768748994
33,0.3,0.01,1.5596145225129443
34,0.3,0.1,1.1809265929863002
35,0.3,0.2,1.7688597342989252
36,0.3,0.3,2.2173259819725635
37,0.3,0.4,2.86546114431607
38,0.3,0.5,4.046133247892011
39,0.3,0.6,4.756045231002086
40,0.3,0.7,5.608188032963984
41,0.3,0.8,5.406649271847507
42,0.3,0.9,5.4301365197216755
43,0.3,0.99,4.6367459652898795
44,0.4,0.01,1.9673056719384556
45,0.4,0.1,1.8642124371685866
46,0.4,0.2,2.374948773765714
47,0.4,0.3,2.929423504370342
48,0.4,0.4,3.881433742361387
49,0.4,0.5,4.675949114394311
50,0.4,0.6,5.401255266446912
51,0.4,0.7,5.639401351903843
52,0.4,0.8,5.375948585528611
53,0.4,0.9,4.981410324755801
54,0.4,0.99,4.779945254126444
55,0.5,0.01,1.7400762639779708
56,0.5,0.1,2.159733885315757
57,0.5,0.2,3.351712158853074
58,0.5,0.3,3.7017103081199183
59,0.5,0.4,4.504411129129155
60,0.5,0.5,5.043570490693004
61,0.5,0.6,5.849567597999626
62,0.5,0.7,5.404664408756947
63,0.5,0.8,4.855472545485802
64,0.5,0.9,4.713592656178209
65,0.5,0.99,4.659452902476157
66,0.6,0.01,2.1586832669848106
67,0.6,0.1,2.4431085433643025
68,0.6,0.2,3.4794475342026217
69,0.6,0.3,3.9554246268141267
70,0.6,0.4,4.4315062222044865
71,0.6,0.5,5.901766697722141
72,0.6,0.6,5.507305039074728
73,0.6,0.7,5.330780588844704
74,0.6,0.8,5.154963772424797
75,0.6,0.9,4.966822427108602
76,0.6,0.99,4.877313382274051
77,0.7,0.01,2.5180883168114887
78,0.7,0.1,3.196229038280292
79,0.7,0.2,3.65981626977266
80,0.7,0.3,4.1360072714269265
81,0.7,0.4,5.685303047825277
82,0.7,0.5,5.419776383224049
83,0.7,0.6,4.899682301859485
84,0.7,0.7,5.049678562620121
85,0.7,0.8,4.78705396096259
86,0.7,0.9,4.552810872100298
87,0.7,0.99,4.746026433766007
88,0.8,0.01,2.9356344885497734
89,0.8,0.1,3.406096429557664
90,0.8,0.2,3.3899041299008448
91,0.8,0.3,5.695609919062363
92,0.8,0.4,5.1805691552456885
93,0.8,0.5,4.866299092321566
94,0.8,0.6,4.814031650408359
95,0.8,0.7,4.764084464008241
96,0.8,0.8,4.690575166791523
97,0.8,0.9,4.563839718757189
98,0.8,0.99,4.566822630404783
99,0.9,0.01,2.3458340903631187
100,0.9,0.1,2.291974547748707
101,0.9,0.2,5.532133511583506
102,0.9,0.3,5.294091877105721
103,0.9,0.4,5.03637213341555
104,0.9,0.5,4.8674104841313035
105,0.9,0.6,4.78200612767718
106,0.9,0.7,4.619373072269413
107,0.9,0.8,4.832273662751523
108,0.9,0.9,4.742149989337585
109,0.9,0.99,4.619485334621186
110,0.99,0.01,0.23945742679920717
111,0.99,0.1,4.270109919176716
112,0.99,0.2,4.517970161836699
113,0.99,0.3,4.7367613958860515
114,0.99,0.4,5.010925118049237
115,0.99,0.5,5.057554993029209
116,0.99,0.6,5.058292071354882
117,0.99,0.7,5.152680123258534
118,0.99,0.8,5.1791274724335965
119,0.99,0.9,5.131503524915686
120,0.99,0.99,5.379113788336633
