,P,cost,value
0,0.01,0.01,-2.3333770757657146
1,0.01,0.1,-2.4311476879241765
2,0.01,0.2,-2.3333647708385126
3,0.01,0.3,-2.1840840807252833
4,0.01,0.4,-2.315564765369292
5,0.01,0.5,-2.301490321450745
6,0.01,0.6,-2.283197060275656
7,0.01,0.7,-1.840591661796973
8,0.01,0.8,-1.768638562161879
9,0.01,0.9,0.08898915482309457
10,0.01,0.99,8.329754920221228
11,0.1,0.01,-7.309259977183348
12,0.1,0.1,-7.1935108557740595
13,0.1,0.2,-7.205968660657597
14,0.1,0.3,-7.154248710669293
15,0.1,0.4,-6.905877496777496
16,0.1,0.5,-6.7678855591186675
17,0.1,0.6,-6.514784282785625
18,0.1,0.7,-5.7188213211350805
19,0.1,0.8,-3.2208864874149863
20,0.1,0.9,5.47149931938791
21,0.1,0.99,9.093087535714632
22,0.2,0.01,-7.546125355608537
23,0.2,0.1,-7.496735183069047
24,0.2,0.2,-7.2804583338740905
25,0.2,0.3,-7.0621188320263775
26,0.2,0.4,-6.78265331821137
27,0.2,0.5,-6.660016469267554
28,0.2,0.6,-5.617414827106697
29,0.2,0.7,-2.8305438704604864
30,0.2,0.8,4.9092260090999424
31,0.2,0.9,9.009499695654144
32,0.2,0.99,8.38662121450259
33,0.3,0.01,-7.464617762888999
34,0.3,0.1,-7.282643558066198
35,0.3,0.2,-7.16177143742379
36,0.3,0.3,-6.983378711777441
37,0.3,0.4,-6.2650847442798066
38,0.3,0.5,-5.389004074234617
39,0.3,0.6,-2.544969201406145
40,0.3,0.7,4.01832573748054
41,0.3,0.8,9.070285689445406
42,0.3,0.9,8.395045997572186
43,0.3,0.99,7.812096907666835
44,0.4,0.01,-7.292190499280839
45,0.4,0.1,-7.220547327949234
46,0.4,0.2,-6.844422460204578
47,0.4,0.3,-6.459953813245388
48,0.4,0.4,-5.4215396300099155
49,0.4,0.5,-2.603256928495092
50,0.4,0.6,4.335298319397233
51,0.4,0.7,9.047873806828058
52,0.4,0.8,8.35777742830648
53,0.4,0.9,7.801692404307038
54,0.4,0.99,7.639068251961453
55,0.5,0.01,-7.229900392434375
56,0.5,0.1,-6.877881602736103
57,0.5,0.2,-6.322410012836296
58,0.5,0.3,-5.385160982436968
59,0.5,0.4,-2.5905604803230577
60,0.5,0.5,4.085983943207689
61,0.5,0.6,9.016236735679769
62,0.5,0.7,8.325465635586637
63,0.5,0.8,7.6662405058425565
64,0.5,0.9,7.401524114917239
65,0.5,0.99,7.230576724646639
66,0.6,0.01,-6.8952157376066445
67,0.6,0.1,-6.715843890835659
68,0.6,0.2,-5.375540420247118
69,0.6,0.3,-2.7089527131628044
70,0.6,0.4,3.3661754082424693
71,0.6,0.5,8.809447387381352
72,0.6,0.6,8.053498811360589
73,0.6,0.7,7.6711927546139425
74,0.6,0.8,7.3519357556329945
75,0.6,0.9,7.134121404634202
76,0.6,0.99,6.981577737751615
77,0.7,0.01,-6.518388819926535
78,0.7,0.1,-5.716738063682101
79,0.7,0.2,-3.1162734180580753
80,0.7,0.3,3.252519128270077
81,0.7,0.4,8.64085754369717
82,0.7,0.5,7.937181029676674
83,0.7,0.6,7.251085931544907
84,0.7,0.7,7.187486990701717
85,0.7,0.8,6.990722076537249
86,0.7,0.9,6.765350889985703
87,0.7,0.99,6.765199780047004
88,0.8,0.01,-6.000224813047508
89,0.8,0.1,-3.729119016466085
90,0.8,0.2,2.7154209087512458
91,0.8,0.3,8.250315077691875
92,0.8,0.4,7.454120568125263
93,0.8,0.5,6.917814399444843
94,0.8,0.6,6.695651007801163
95,0.8,0.7,6.61726184451738
96,0.8,0.8,6.615380511648591
97,0.8,0.9,6.438360359068779
98,0.8,0.99,6.367796539438929
99,0.9,0.01,-4.357431171000879
100,0.9,0.1,1.6379061263024621
101,0.9,0.2,7.37888926183887
102,0.9,0.3,6.825582189275882
103,0.9,0.4,6.481474106026026
104,0.9,0.5,6.209199523922507
105,0.9,0.6,5.976481923685311
106,0.9,0.7,5.974458209306905
107,0.9,0.8,6.074625813719656
108,0.9,0.9,5.993677955225822
109,0.9,0.99,5.900601598857983
110,0.99,0.01,-0.12206492727549755
111,0.99,0.1,4.433862598923596
112,0.99,0.2,4.579309984812584
113,0.99,0.3,4.7581961741022285
114,0.99,0.4,5.036389992687415
115,0.99,0.5,5.085223830502024
116,0.99,0.6,5.0903432498939525
117,0.99,0.7,5.194870475932438
118,0.99,0.8,5.20991861585912
119,0.99,0.9,5.178591048986729
120,0.99,0.99,5.402298665866087
