,P,cost,value
0,0.01,0.01,-7.028162501858601
1,0.01,0.1,-7.147398525221397
2,0.01,0.2,-7.0466409682192985
3,0.01,0.3,-6.7919344242360395
4,0.01,0.4,-6.866088397372345
5,0.01,0.5,-6.779133703743952
6,0.01,0.6,-6.630178443288629
7,0.01,0.7,-6.14974854722588
8,0.01,0.8,-6.037696339382949
9,0.01,0.9,-3.1357721700676553
10,0.01,0.99,7.562846719319525
11,0.1,0.01,-9.815333031124855
12,0.1,0.1,-9.822403797798406
13,0.1,0.2,-9.807220405323173
14,0.1,0.3,-9.794318568536827
15,0.1,0.4,-9.763951861689819
16,0.1,0.5,-9.751450531467107
17,0.1,0.6,-9.690288885477642
18,0.1,0.7,-9.48271799005425
19,0.1,0.8,-8.492213401870378
20,0.1,0.9,0.6606344175466243
21,0.1,0.99,9.997364905215036
22,0.2,0.01,-9.916581165886187
23,0.2,0.1,-9.908810799419186
24,0.2,0.2,-9.898232332295652
25,0.2,0.3,-9.878496031226273
26,0.2,0.4,-9.844411913989937
27,0.2,0.5,-9.800463011428636
28,0.2,0.6,-9.623207507200128
29,0.2,0.7,-8.71039959826048
30,0.2,0.8,-0.8748289835148606
31,0.2,0.9,9.885535801990523
32,0.2,0.99,9.999520087884468
33,0.3,0.01,-9.938508204915127
34,0.3,0.1,-9.927531535032424
35,0.3,0.2,-9.918804491689386
36,0.3,0.3,-9.892175854545695
37,0.3,0.4,-9.824394656503108
38,0.3,0.5,-9.675338307369767
39,0.3,0.6,-8.776698949699327
40,0.3,0.7,-2.358991032981316
41,0.3,0.8,9.442401983446105
42,0.3,0.9,9.99635040631302
43,0.3,0.99,9.999781180744785
44,0.4,0.01,-9.943722426817562
45,0.4,0.1,-9.933785626903834
46,0.4,0.2,-9.906934616087543
47,0.4,0.3,-9.850923284667791
48,0.4,0.4,-9.690830928470403
49,0.4,0.5,-8.837155418637959
50,0.4,0.6,-2.2813016740434615
51,0.4,0.7,8.892443004418308
52,0.4,0.8,9.982457669222532
53,0.4,0.9,9.999425985939837
54,0.4,0.99,9.999882429598104
55,0.5,0.01,-9.94341406776572
56,0.5,0.1,-9.921846930135041
57,0.5,0.2,-9.87762010368299
58,0.5,0.3,-9.730460749819875
59,0.5,0.4,-8.881973206799307
60,0.5,0.5,-3.021753853895591
61,0.5,0.6,8.88836338392538
62,0.5,0.7,9.963213371084484
63,0.5,0.8,9.998256961996429
64,0.5,0.9,9.999765431533149
65,0.5,0.99,9.999922634369607
66,0.6,0.01,-9.931068696878079
67,0.6,0.1,-9.897474738662616
68,0.6,0.2,-9.722224750289271
69,0.6,0.3,-9.004374925034467
70,0.6,0.4,-3.7224863937045876
71,0.6,0.5,8.380094804314773
72,0.6,0.6,9.941626535587933
73,0.6,0.7,9.997168239295329
74,0.6,0.8,9.999534137424218
75,0.6,0.9,9.999881080158971
76,0.6,0.99,9.999944625016523
77,0.7,0.01,-9.902859878614667
78,0.7,0.1,-9.779832742286844
79,0.7,0.2,-9.108613399091087
80,0.7,0.3,-3.93586034651576
81,0.7,0.4,8.103985141028701
82,0.7,0.5,9.924145218134534
83,0.7,0.6,9.993087616500027
84,0.7,0.7,9.999158108772816
85,0.7,0.8,9.99980828139082
86,0.7,0.9,9.999916139755948
87,0.7,0.99,9.999961289936065
88,0.8,0.01,-9.821785808888619
89,0.8,0.1,-9.35411519686776
90,0.8,0.2,-4.49868274982978
91,0.8,0.3,8.179718980018034
92,0.8,0.4,9.916819064753241
93,0.8,0.5,9.994753830015664
94,0.8,0.6,9.998928870069264
95,0.8,0.7,9.999737577797612
96,0.8,0.8,9.999898018956358
97,0.8,0.9,9.999954010760424
98,0.8,0.99,9.99997214234352
99,0.9,0.01,-9.389696102226354
100,0.9,0.1,-5.2185658580665475
101,0.9,0.2,8.334888527556847
102,0.9,0.3,9.919535594439019
103,0.9,0.4,9.993856979733787
104,0.9,0.5,9.99879896032319
105,0.9,0.6,9.999691738275754
106,0.9,0.7,9.999864110122106
107,0.9,0.8,9.999939729877699
108,0.9,0.9,9.999966869127592
109,0.9,0.99,9.999978444095953
110,0.99,0.01,-5.892646332512293
111,0.99,0.1,8.011561595380787
112,0.99,0.2,9.939602428088854
113,0.99,0.3,9.995167530887466
114,0.99,0.4,9.999066675061938
115,0.99,0.5,9.999689015368263
116,0.99,0.6,9.999872315665655
117,0.99,0.7,9.99993668614752
118,0.99,0.8,9.999967626458401
119,0.99,0.9,9.999980262382973
120,0.99,0.99,9.999986963623508
