,P,cost,value
0,0.01,0.01,9.999999991123458
1,0.01,0.1,9.99999999276201
2,0.01,0.2,9.999999963794888
3,0.01,0.3,9.999999901490973
4,0.01,0.4,9.999999800877935
5,0.01,0.5,9.99999894711271
6,0.01,0.6,9.999998045038987
7,0.01,0.7,9.9999909123387
8,0.01,0.8,9.99992804758881
9,0.01,0.9,9.994458892268925
10,0.01,0.99,1.6446436516106824
11,0.1,0.01,9.99999941979717
12,0.1,0.1,9.99999903802457
13,0.1,0.2,9.999997810584457
14,0.1,0.3,9.999993740401298
15,0.1,0.4,9.999976127083679
16,0.1,0.5,9.999911586774394
17,0.1,0.6,9.999635853243463
18,0.1,0.7,9.995829700074104
19,0.1,0.8,9.779499010581816
20,0.1,0.9,-0.9682438561258109
21,0.1,0.99,-9.696007756102333
22,0.2,0.01,9.999996774036752
23,0.2,0.1,9.999993277136083
24,0.2,0.2,9.999985157707789
25,0.2,0.3,9.999943821375648
26,0.2,0.4,9.999804299787403
27,0.2,0.5,9.998724906431057
28,0.2,0.6,9.98445148423379
29,0.2,0.7,9.526914500430907
30,0.2,0.8,-1.0714091835991215
31,0.2,0.9,-9.382369875109504
32,0.2,0.99,-9.88177729206227
33,0.3,0.01,9.999989193019047
34,0.3,0.1,9.999978125536515
35,0.3,0.2,9.99994385547341
36,0.3,0.3,9.999752573630747
37,0.3,0.4,9.998045995475307
38,0.3,0.5,9.97494405321618
39,0.3,0.6,9.26969346988721
40,0.3,0.7,-0.4227202862470922
41,0.3,0.8,-9.004301208994764
42,0.3,0.9,-9.818064717712184
43,0.3,0.99,-9.923961529311223
44,0.4,0.01,9.99996971906565
45,0.4,0.1,9.999923290587814
46,0.4,0.2,9.999631380501432
47,0.4,0.3,9.997209422821943
48,0.4,0.4,9.967388821827413
49,0.4,0.5,9.20105809646434
50,0.4,0.6,-0.4796993102162475
51,0.4,0.7,-8.675287296099173
52,0.4,0.8,-9.754793898025046
53,0.4,0.9,-9.903058309679341
54,0.4,0.99,-9.93837479508221
55,0.5,0.01,9.9998892831115
56,0.5,0.1,9.99960305434927
57,0.5,0.2,9.998114277202458
58,0.5,0.3,9.970315154204496
59,0.5,0.4,9.240145658438516
60,0.5,0.5,-0.07792538100817319
61,0.5,0.6,-8.634293100269776
62,0.5,0.7,-9.663672720620223
63,0.5,0.8,-9.874966404754634
64,0.5,0.9,-9.925668157811693
65,0.5,0.99,-9.943977907485946
66,0.6,0.01,9.999580929871676
67,0.6,0.1,9.99852889023134
68,0.6,0.2,9.972311308940728
69,0.6,0.3,9.335342194034142
70,0.6,0.4,0.9399198842284331
71,0.6,0.5,-8.261073215769386
72,0.6,0.6,-9.618771291221604
73,0.6,0.7,-9.849125101515451
74,0.6,0.8,-9.904632673753508
75,0.6,0.9,-9.932018486129726
76,0.6,0.99,-9.94479004381954
77,0.7,0.01,9.998137043307256
78,0.7,0.1,9.981769390374286
79,0.7,0.2,9.421878310857345
80,0.7,0.3,1.0910130828932916
81,0.7,0.4,-8.103863425905844
82,0.7,0.5,-9.545199580948516
83,0.7,0.6,-9.800028354785773
84,0.7,0.7,-9.871418205415944
85,0.7,0.8,-9.908885385234715
86,0.7,0.9,-9.924032871733687
87,0.7,0.99,-9.93448148927833
88,0.8,0.01,9.979211846545216
89,0.8,0.1,9.6536764115192
90,0.8,0.2,2.0422334072396815
91,0.8,0.3,-7.745516249884571
92,0.8,0.4,-9.429500193343971
93,0.8,0.5,-9.749061480869672
94,0.8,0.6,-9.83410133296729
95,0.8,0.7,-9.875979737190583
96,0.8,0.8,-9.891356435557165
97,0.8,0.9,-9.907302713511632
98,0.8,0.99,-9.907915924863829
99,0.9,0.01,9.638272641859725
100,0.9,0.1,3.291634617010203
101,0.9,0.2,-7.246131978504561
102,0.9,0.3,-9.127322046185235
103,0.9,0.4,-9.540883138912184
104,0.9,0.5,-9.690240599596262
105,0.9,0.6,-9.758637749052445
106,0.9,0.7,-9.775980526177392
107,0.9,0.8,-9.790254351877323
108,0.9,0.9,-9.804383950723064
109,0.9,0.99,-9.80979890432854
110,0.99,0.01,5.5708291532297665
111,0.99,0.1,-0.47323281278298074
112,0.99,0.2,-4.3910925025161
113,0.99,0.3,-5.962946643686793
114,0.99,0.4,-6.312482614756134
115,0.99,0.5,-6.540641113220622
116,0.99,0.6,-6.66313361212725
117,0.99,0.7,-6.882686869263363
118,0.99,0.8,-6.983619074029748
119,0.99,0.9,-6.992922581959452
120,0.99,0.99,-6.5508397501016935
