,P,cost,value
0,0.01,0.01,1.525073339359728e-07
1,0.01,0.1,1.432334821672278e-07
2,0.01,0.2,2.78826248602289e-07
3,0.01,0.3,1.5037328980215723e-07
4,0.01,0.4,1.709013009842295e-07
5,0.01,0.5,3.3060297400208905e-07
6,0.01,0.6,3.028317388616066e-06
7,0.01,0.7,2.985531707016836e-06
8,0.01,0.8,2.9864535329288362e-05
9,0.01,0.9,0.0015871950590199072
10,0.01,0.99,0.7814296075676285
11,0.1,0.01,1.1789028256811101e-05
12,0.1,0.1,6.021451895963038e-06
13,0.1,0.2,7.63588762572985e-06
14,0.1,0.3,9.073745374908201e-06
15,0.1,0.4,9.749161490077083e-06
16,0.1,0.5,3.3018419792464124e-05
17,0.1,0.6,0.00017234697649293171
18,0.1,0.7,0.0010194956550774468
19,0.1,0.8,0.05162943136258073
20,0.1,0.9,2.2544342640733577
21,0.1,0.99,1.645410032120174
22,0.2,0.01,0.00032075013737168474
23,0.2,0.1,8.20677707661111e-05
24,0.2,0.2,0.0001346720755009958
25,0.2,0.3,9.801549814494732e-05
26,0.2,0.4,0.00013457482598563245
27,0.2,0.5,0.00030057644966585435
28,0.2,0.6,0.001960298793235251
29,0.2,0.7,0.10100603995786836
30,0.2,0.8,1.9540699060657913
31,0.2,0.9,2.2480416531461573
32,0.2,0.99,1.2877974546863558
33,0.3,0.01,0.0027644978958600557
34,0.3,0.1,0.0012030789632893671
35,0.3,0.2,0.0007814926466922187
36,0.3,0.3,0.00036657315189638027
37,0.3,0.4,0.0008335145654286796
38,0.3,0.5,0.004237628532937281
39,0.3,0.6,0.07458388302784268
40,0.3,0.7,1.8409689645857834
41,0.3,0.8,2.1784681971622555
42,0.3,0.9,1.7019046786940737
43,0.3,0.99,1.155182215509337
44,0.4,0.01,0.02674611114919763
45,0.4,0.1,0.013717721010418266
46,0.4,0.2,0.013807194599023864
47,0.4,0.3,0.0117597850556505
48,0.4,0.4,0.011963241128843689
49,0.4,0.5,0.06974815137646609
50,0.4,0.6,1.0653817414628273
51,0.4,0.7,1.1791921021274212
52,0.4,0.8,0.9703537499706865
53,0.4,0.9,0.960248138119947
54,0.4,0.99,0.9722200198780591
55,0.5,0.01,0.2519697909586134
56,0.5,0.1,0.11707825545617598
57,0.5,0.2,0.17492860910177263
58,0.5,0.3,0.2280703667994877
59,0.5,0.4,0.4057470271343353
60,0.5,0.5,0.4953540876275254
61,0.5,0.6,0.3426760794275288
62,0.5,0.7,0.24014191187483253
63,0.5,0.8,0.14095926164174694
64,0.5,0.9,0.13676893360400189
65,0.5,0.99,0.25365408950437507
66,0.6,0.01,1.0988893279406258
67,0.6,0.1,0.9352356064955298
68,0.6,0.2,1.26701466926348
69,0.6,0.3,1.7118512766378446
70,0.6,0.4,1.9406937189003435
71,0.6,0.5,0.19955193806899846
72,0.6,0.6,0.02316557347635053
73,0.6,0.7,0.005300746313277005
74,0.6,0.8,0.008342202447385032
75,0.6,0.9,0.010489558539522686
76,0.6,0.99,0.025404577105338375
77,0.7,0.01,1.4440604544414906
78,0.7,0.1,1.8353350214001196
79,0.7,0.2,2.305511814718943
80,0.7,0.3,2.4082388429160546
81,0.7,0.4,0.6404639546051282
82,0.7,0.5,0.05405026347586745
83,0.7,0.6,0.0013463364485326195
84,0.7,0.7,0.0006964738932381641
85,0.7,0.8,0.0005835358102407158
86,0.7,0.9,0.0018458669487672092
87,0.7,0.99,0.003993437823200785
88,0.8,0.01,1.6966645868390944
89,0.8,0.1,2.177789417774324
90,0.8,0.2,2.6123466427861217
91,0.8,0.3,0.6029197288997182
92,0.8,0.4,0.06752363359234179
93,0.8,0.5,0.005112829622190492
94,0.8,0.6,0.000568493386610877
95,0.8,0.7,0.000161292330497545
96,0.8,0.8,0.0001386194759055783
97,0.8,0.9,0.00010794827802088061
98,0.8,0.99,0.000239805769050608
99,0.9,0.01,2.1663661876982894
100,0.9,0.1,2.5944615434171676
101,0.9,0.2,0.6986153708954461
102,0.9,0.3,0.07662419095949326
103,0.9,0.4,0.003871728254869606
104,0.9,0.5,0.0004445311054707055
105,0.9,0.6,0.00016925440478179644
106,0.9,0.7,7.73220059883032e-05
107,0.9,0.8,3.661835183738948e-05
108,0.9,0.9,2.207074817789813e-05
109,0.9,0.99,2.3714615461031433e-05
110,0.99,0.01,1.7925587032813493
111,0.99,0.1,0.8763803907341466
112,0.99,0.2,0.051509747355321295
113,0.99,0.3,0.0041499915286407054
114,0.99,0.4,0.0005034710960896679
115,0.99,0.5,0.0002125711172930563
116,0.99,0.6,7.874720329085116e-05
117,0.99,0.7,2.6477115412315576e-05
118,0.99,0.8,2.256109936594599e-05
119,0.99,0.9,9.77724272518037e-06
120,0.99,0.99,6.568495383586479e-06
