,P,cost,value
0,0.01,0.01,0.8712488280597739
1,0.01,0.1,0.7609045544493122
2,0.01,0.2,0.9627412564323268
3,0.01,0.3,1.165030588275298
4,0.01,0.4,1.1871797482700126
5,0.01,0.5,1.416376863308486
6,0.01,0.6,1.2769776733558884
7,0.01,0.7,1.684623230879133
8,0.01,0.8,1.9565689914380253
9,0.01,0.9,2.7170100343701624
10,0.01,0.99,1.4996481283481964
11,0.1,0.01,0.050988983401038676
12,0.1,0.1,0.04808878449641414
13,0.1,0.2,0.0670840737482698
14,0.1,0.3,0.07523865818669181
15,0.1,0.4,0.0935319486504533
16,0.1,0.5,0.0983541499132206
17,0.1,0.6,0.12958307512737274
18,0.1,0.7,0.31041673343601145
19,0.1,0.8,1.0862332903191958
20,0.1,0.9,3.188561156061056
21,0.1,0.99,0.037203097510275215
22,0.2,0.01,0.03850822357396756
23,0.2,0.1,0.042918979184419906
24,0.2,0.2,0.0461761504714777
25,0.2,0.3,0.0663847499177506
26,0.2,0.4,0.0840902344302426
27,0.2,0.5,0.12621995759601
28,0.2,0.6,0.2555155164565506
29,0.2,0.7,1.0328754784386993
30,0.2,0.8,3.125184811615711
31,0.2,0.9,0.07043467062855016
32,0.2,0.99,0.20516313504047465
33,0.3,0.01,0.044192010722080365
34,0.3,0.1,0.05286665725828525
35,0.3,0.2,0.07225908346626438
36,0.3,0.3,0.05918092879657513
37,0.3,0.4,0.13874060273525113
38,0.3,0.5,0.2875440267927955
39,0.3,0.6,0.9221517465894229
40,0.3,0.7,2.8566271888010637
41,0.3,0.8,0.22366012601995683
42,0.3,0.9,0.2005902546096898
43,0.3,0.99,0.37762987219777555
44,0.4,0.01,0.04142133643319543
45,0.4,0.1,0.06054603114915993
46,0.4,0.2,0.06246311668925489
47,0.4,0.3,0.10809669090868114
48,0.4,0.4,0.3003863718081081
49,0.4,0.5,0.9956862591534346
50,0.4,0.6,2.8417981677497894
51,0.4,0.7,0.4356243031120586
52,0.4,0.8,0.17050687990478558
53,0.4,0.9,0.33390086172195044
54,0.4,0.99,0.4030202381694131
55,0.5,0.01,0.05474310459791175
56,0.5,0.1,0.06325302434421803
57,0.5,0.2,0.10140361964170694
58,0.5,0.3,0.2865030109158276
59,0.5,0.4,0.9605037363275117
60,0.5,0.5,2.8381733650048053
61,0.5,0.6,0.39179480703665015
62,0.5,0.7,0.17368475141896794
63,0.5,0.8,0.33155399738967417
64,0.5,0.9,0.4243413155962792
65,0.5,0.99,0.42230133279792736
66,0.6,0.01,0.061961355397318625
67,0.6,0.1,0.08539992422877535
68,0.6,0.2,0.356579967584158
69,0.6,0.3,0.8769223766225669
70,0.6,0.4,2.768773648860558
71,0.6,0.5,0.658605006318083
72,0.6,0.6,0.1402947034919167
73,0.6,0.7,0.25276143410779295
74,0.6,0.8,0.2982748422743178
75,0.6,0.9,0.29365221284753
76,0.6,0.99,0.4105146984470246
77,0.7,0.01,0.07477332435207613
78,0.7,0.1,0.24653900454568062
79,0.7,0.2,0.7661561076796066
80,0.7,0.3,2.550581447211524
81,0.7,0.4,0.7385634037070137
82,0.7,0.5,0.16042613519596696
83,0.7,0.6,0.23110299565145842
84,0.7,0.7,0.21327755835763446
85,0.7,0.8,0.22163538219768497
86,0.7,0.9,0.24533455200449933
87,0.7,0.99,0.2605678087662817
88,0.8,0.01,0.14067413237660534
89,0.8,0.1,0.46617612577987827
90,0.8,0.2,2.220388972269613
91,0.8,0.3,0.8700886658000895
92,0.8,0.4,0.10198828497829271
93,0.8,0.5,0.13153705030177787
94,0.8,0.6,0.1271682255398421
95,0.8,0.7,0.09481084555006951
96,0.8,0.8,0.09288754254331108
97,0.8,0.9,0.10331794469892486
98,0.8,0.99,0.09914632255427322
99,0.9,0.01,0.40495449570576236
100,0.9,0.1,1.7494182776773717
101,0.9,0.2,0.7853112505777708
102,0.9,0.3,0.07122257649908377
103,0.9,0.4,0.0275012269481124
104,0.9,0.5,0.026160663488680527
105,0.9,0.6,0.0290926241510351
106,0.9,0.7,0.024291516415141476
107,0.9,0.8,0.021726443690722748
108,0.9,0.9,0.02792390223204098
109,0.9,0.99,0.026811984170291608
110,0.99,0.01,1.1998237341718454
111,0.99,0.1,0.9343842512007554
112,0.99,0.2,0.068479858695697
113,0.99,0.3,0.015256214907480196
114,0.99,0.4,0.002645600653589322
115,0.99,0.5,0.0036555029024188416
116,0.99,0.6,0.003324555319114921
117,0.99,0.7,0.001714671053878982
118,0.99,0.8,0.0019467715753916461
119,0.99,0.9,0.0013505010239645223
120,0.99,0.99,0.0013609182390819379
