,P,cost,value
0,0.01,0.01,1.200490375774317e-07
1,0.01,0.1,2.0619025349893196e-07
2,0.01,0.2,1.7847903340805855e-07
3,0.01,0.3,1.7525305045574087e-07
4,0.01,0.4,2.5929510210431827e-07
5,0.01,0.5,1.9911882503531577e-06
6,0.01,0.6,1.0963785540146095e-06
7,0.01,0.7,3.247849074981795e-06
8,0.01,0.8,1.4509789238562885e-05
9,0.01,0.9,0.0036636465828490464
10,0.01,0.99,0.6026941895646167
11,0.1,0.01,1.5335437053957262e-06
12,0.1,0.1,2.29614619966081e-06
13,0.1,0.2,2.639885385609944e-06
14,0.1,0.3,4.3933010820399955e-06
15,0.1,0.4,1.1942025825183567e-05
16,0.1,0.5,2.4985251724866112e-05
17,0.1,0.6,7.220547216999581e-05
18,0.1,0.7,0.0008580048475755738
19,0.1,0.8,0.030003380562565164
20,0.1,0.9,0.9750335530789479
21,0.1,0.99,0.0011118925001782735
22,0.2,0.01,5.148562840018053e-06
23,0.2,0.1,6.071630914689887e-06
24,0.2,0.2,1.6624316754220257e-05
25,0.2,0.3,1.899238903350464e-05
26,0.2,0.4,3.748950358775594e-05
27,0.2,0.5,0.000162977440097953
28,0.2,0.6,0.0015198064412046204
29,0.2,0.7,0.058068035270774955
30,0.2,0.8,0.7111423701229215
31,0.2,0.9,0.040108551194094406
32,0.2,0.99,0.00026596451519132893
33,0.3,0.01,1.4165086157569818e-05
34,0.3,0.1,2.7915685810886175e-05
35,0.3,0.2,4.051416949864544e-05
36,0.3,0.3,9.640092402572255e-05
37,0.3,0.4,0.0005616067386478688
38,0.3,0.5,0.005340275635397225
39,0.3,0.6,0.05075321423199413
40,0.3,0.7,0.6977169364301418
41,0.3,0.8,0.08173886705321134
42,0.3,0.9,0.0024440402139026835
43,0.3,0.99,0.000259239197184463
44,0.4,0.01,4.977905844059362e-05
45,0.4,0.1,0.00012053768128011654
46,0.4,0.2,0.0002634021829349049
47,0.4,0.3,0.001000002797534214
48,0.4,0.4,0.012588484143882833
49,0.4,0.5,0.1231700957917855
50,0.4,0.6,0.5001214177223208
51,0.4,0.7,0.16288822621602772
52,0.4,0.8,0.005410752637231721
53,0.4,0.9,0.0002456976653788733
54,0.4,0.99,8.97952462818473e-05
55,0.5,0.01,0.0001543873342023245
56,0.5,0.1,0.001101401917429011
57,0.5,0.2,0.0016002075764252935
58,0.5,0.3,0.011855754571982657
59,0.5,0.4,0.07426398987305396
60,0.5,0.5,0.5631996253765665
61,0.5,0.6,0.11991532106239335
62,0.5,0.7,0.009950059370830194
63,0.5,0.8,0.0006302142339787619
64,0.5,0.9,0.00017171571607156266
65,0.5,0.99,4.046471802773138e-05
66,0.6,0.01,0.0003617210444731463
67,0.6,0.1,0.0012051907146898779
68,0.6,0.2,0.0099467409237105
69,0.6,0.3,0.14073387311333155
70,0.6,0.4,0.5089619806661911
71,0.6,0.5,0.2874808801888485
72,0.6,0.6,0.011631311860130743
73,0.6,0.7,0.0007455276355373172
74,0.6,0.8,0.00023540699902098412
75,0.6,0.9,6.440495650031626e-05
76,0.6,0.99,3.2695253267934915e-05
77,0.7,0.01,0.006749410095103734
78,0.7,0.1,0.011862416158482337
79,0.7,0.2,0.40477380055094875
80,0.7,0.3,0.6401388723234948
81,0.7,0.4,0.40498118037969033
82,0.7,0.5,0.014220577356799295
83,0.7,0.6,0.0033135794273345277
84,0.7,0.7,0.0003919477212082785
85,0.7,0.8,7.66656072466935e-05
86,0.7,0.9,5.28228662145172e-05
87,0.7,0.99,2.1864102964335482e-05
88,0.8,0.01,0.04476166420998298
89,0.8,0.1,0.2757354729628537
90,0.8,0.2,1.3757139667003162
91,0.8,0.3,0.48979103703749166
92,0.8,0.4,0.022424923268506786
93,0.8,0.5,0.0015646060629253991
94,0.8,0.6,0.00047033794000573463
95,0.8,0.7,0.0001939893231009767
96,0.8,0.8,4.7784318239918015e-05
97,0.8,0.9,2.2674607188750888e-05
98,0.8,0.99,2.0430334829757656e-05
99,0.9,0.01,0.6590190363498051
100,0.9,0.1,1.5283514887296965
101,0.9,0.2,0.9884902570118805
102,0.9,0.3,0.04290136462376478
103,0.9,0.4,0.0032750184447260513
104,0.9,0.5,0.000763013454842303
105,0.9,0.6,0.0001704836641529787
106,0.9,0.7,7.034049062310941e-05
107,0.9,0.8,2.9489499802810672e-05
108,0.9,0.9,1.839125699338287e-05
109,0.9,0.99,1.5488926896234965e-05
110,0.99,0.01,1.8538367073151396
111,0.99,0.1,1.351827400581005
112,0.99,0.2,0.09044031167708592
113,0.99,0.3,0.007510595855337241
114,0.99,0.4,0.0006497808038576545
115,0.99,0.5,0.00016059899346993275
116,0.99,0.6,8.770141059443891e-05
117,0.99,0.7,3.1368957810132926e-05
118,0.99,0.8,1.5195387081757937e-05
119,0.99,0.9,9.660683085258092e-06
120,0.99,0.99,6.965525164544764e-06
