,P,cost,value
0,0.01,0.01,0.6176379802066522
1,0.01,0.1,0.6732234822311227
2,0.01,0.2,0.7812821535531809
3,0.01,0.3,0.7664676036318319
4,0.01,0.4,0.8667005434881072
5,0.01,0.5,1.0203138741074227
6,0.01,0.6,0.8488260212618677
7,0.01,0.7,1.0545099201368933
8,0.01,0.8,1.2276172526731273
9,0.01,0.9,1.9381669051605555
10,0.01,0.99,1.51072073149648
11,0.1,0.01,0.27494476933038214
12,0.1,0.1,0.2529261998177706
13,0.1,0.2,0.3641101624939858
14,0.1,0.3,0.320789658170187
15,0.1,0.4,0.37420334639566466
16,0.1,0.5,0.5322166522167052
17,0.1,0.6,0.61122445382957
18,0.1,0.7,0.9139055546355359
19,0.1,0.8,1.8444619289043895
20,0.1,0.9,2.888419829677862
21,0.1,0.99,0.03433865759269902
22,0.2,0.01,0.11381908542305931
23,0.2,0.1,0.10230318659133267
24,0.2,0.2,0.1355807146335032
25,0.2,0.3,0.2340827339569932
26,0.2,0.4,0.3182091482639855
27,0.2,0.5,0.4107883998159242
28,0.2,0.6,0.6325305525469
29,0.2,0.7,1.362422022097467
30,0.2,0.8,2.833301980701148
31,0.2,0.9,0.06175770410044059
32,0.2,0.99,0.002383484219599432
33,0.3,0.01,0.0643221581399525
34,0.3,0.1,0.11786812751318837
35,0.3,0.2,0.10420691065357232
36,0.3,0.3,0.11040266703024172
37,0.3,0.4,0.28779643523272597
38,0.3,0.5,0.46987925371566047
39,0.3,0.6,0.9702418087437157
40,0.3,0.7,2.6861168680901164
41,0.3,0.8,0.36068160631939233
42,0.3,0.9,0.0034500172291553137
43,0.3,0.99,0.0005389231127001899
44,0.4,0.01,0.06577171278481922
45,0.4,0.1,0.059392402462959654
46,0.4,0.2,0.08629253951403974
47,0.4,0.3,0.16226085165694493
48,0.4,0.4,0.36184649056814056
49,0.4,0.5,0.9054964690307143
50,0.4,0.6,2.728300883818948
51,0.4,0.7,0.7224654240320436
52,0.4,0.8,0.017305556428032665
53,0.4,0.9,0.00036332177601539084
54,0.4,0.99,0.00016472333524236702
55,0.5,0.01,0.05413976237522404
56,0.5,0.1,0.05784763927148406
57,0.5,0.2,0.10725187032687454
58,0.5,0.3,0.30087117459428286
59,0.5,0.4,0.8234478812117739
60,0.5,0.5,2.569287364799612
61,0.5,0.6,0.620827533117935
62,0.5,0.7,0.02994146734546723
63,0.5,0.8,0.0012240265784381542
64,0.5,0.9,0.00018647373397232851
65,0.5,0.99,6.214282457137063e-05
66,0.6,0.01,0.04706296374235807
67,0.6,0.1,0.0844840343861705
68,0.6,0.2,0.3189490777845058
69,0.6,0.3,0.738019226020151
70,0.6,0.4,2.4191246212298663
71,0.6,0.5,0.9889001869120857
72,0.6,0.6,0.055668500624577746
73,0.6,0.7,0.0012975085681510075
74,0.6,0.8,0.00031648832955315893
75,0.6,0.9,6.997230780411026e-05
76,0.6,0.99,3.988814328397363e-05
77,0.7,0.01,0.06210481889758454
78,0.7,0.1,0.1975349399209608
79,0.7,0.2,0.5822989412123728
80,0.7,0.3,2.166320987272598
81,0.7,0.4,1.1092309327954244
82,0.7,0.5,0.08699516609112953
83,0.7,0.6,0.011445532527808512
84,0.7,0.7,0.0011245761955823005
85,0.7,0.8,8.952135125819659e-05
86,0.7,0.9,6.291628069306159e-05
87,0.7,0.99,2.431711233474239e-05
88,0.8,0.01,0.10537753506428486
89,0.8,0.1,0.3716715152584274
90,0.8,0.2,1.9994671620597226
91,0.8,0.3,1.0961117572604426
92,0.8,0.4,0.08617310933827882
93,0.8,0.5,0.00392331317745626
94,0.8,0.6,0.0009497738440807378
95,0.8,0.7,0.00021459041814951216
96,0.8,0.8,5.1265701890057365e-05
97,0.8,0.9,2.3867497895014917e-05
98,0.8,0.99,2.1853341382838253e-05
99,0.9,0.01,0.35313613041576897
100,0.9,0.1,1.5633242719584008
101,0.9,0.2,0.9052689786964458
102,0.9,0.3,0.10039867953569608
103,0.9,0.4,0.007881951854847023
104,0.9,0.5,0.0010513375321132632
105,0.9,0.6,0.0001643803853758027
106,0.9,0.7,7.056546122728751e-05
107,0.9,0.8,3.000628053092041e-05
108,0.9,0.9,1.860979364662162e-05
109,0.9,0.99,1.6098536026672614e-05
110,0.99,0.01,1.0331033426077993
111,0.99,0.1,0.9737448082479319
112,0.99,0.2,0.05741349620349236
113,0.99,0.3,0.007068444824846582
114,0.99,0.4,0.0006845660241627539
115,0.99,0.5,0.00015034213145726625
116,0.99,0.6,8.785248431441657e-05
117,0.99,0.7,3.1386288478952695e-05
118,0.99,0.8,1.5203640955381349e-05
119,0.99,0.9,9.663515059703166e-06
120,0.99,0.99,6.977673300191828e-06
