,P,cost,value
0,0.01,0.01,0.10671731772336727
1,0.01,0.1,0.13287352963724564
2,0.01,0.2,0.15100219093599587
3,0.01,0.3,0.13113174430648267
4,0.01,0.4,0.14363685774673862
5,0.01,0.5,0.14925338420955975
6,0.01,0.6,0.15451107290794064
7,0.01,0.7,0.22966363369489234
8,0.01,0.8,0.31518728782606764
9,0.01,0.9,0.6721476623801637
10,0.01,0.99,1.6469385625734856
11,0.1,0.01,0.11755602766884962
12,0.1,0.1,0.15120143812699943
13,0.1,0.2,0.1531971360459609
14,0.1,0.3,0.15304629361989763
15,0.1,0.4,0.17199111420806826
16,0.1,0.5,0.16814879079099032
17,0.1,0.6,0.2064925597669907
18,0.1,0.7,0.29693722082853763
19,0.1,0.8,1.0478988214192626
20,0.1,0.9,1.8429786163704573
21,0.1,0.99,0.26053526541728483
22,0.2,0.01,0.23470436343353723
23,0.2,0.1,0.243752320345975
24,0.2,0.2,0.28512563414400593
25,0.2,0.3,0.24026042616919363
26,0.2,0.4,0.23101941909383653
27,0.2,0.5,0.3027449912160491
28,0.2,0.6,0.5779945758657543
29,0.2,0.7,1.1090722369481103
30,0.2,0.8,1.4287690861480913
31,0.2,0.9,0.7041264571601884
32,0.2,0.99,0.4079696223993274
33,0.3,0.01,0.3031987488620131
34,0.3,0.1,0.30767148655805343
35,0.3,0.2,0.2890748317700425
36,0.3,0.3,0.290931707159096
37,0.3,0.4,0.4077259131720111
38,0.3,0.5,0.7303063661687282
39,0.3,0.6,1.2402796828950022
40,0.3,0.7,1.4024682045478025
41,0.3,0.8,1.1645321685731946
42,0.3,0.9,0.4492874241166752
43,0.3,0.99,0.36729935459599744
44,0.4,0.01,0.30739409951988655
45,0.4,0.1,0.3402560954582145
46,0.4,0.2,0.3466698435502203
47,0.4,0.3,0.45596711242465104
48,0.4,0.4,0.7172678023120347
49,0.4,0.5,1.1934776124965145
50,0.4,0.6,1.4862004486558789
51,0.4,0.7,1.255843383742131
52,0.4,0.8,0.6109357762447892
53,0.4,0.9,0.44842643076648614
54,0.4,0.99,0.3742617892249634
55,0.5,0.01,0.3487703728564041
56,0.5,0.1,0.37800053110453985
57,0.5,0.2,0.49132667560101095
58,0.5,0.3,0.7972094116267303
59,0.5,0.4,1.2313347820318434
60,0.5,0.5,1.3643373115145374
61,0.5,0.6,1.0868513771104862
62,0.5,0.7,0.6708505548228736
63,0.5,0.8,0.4646780126130413
64,0.5,0.9,0.41151089398889334
65,0.5,0.99,0.402375533834671
66,0.6,0.01,0.44354946546970875
67,0.6,0.1,0.42511643907873814
68,0.6,0.2,0.6535050545504002
69,0.6,0.3,1.1459896362276474
70,0.6,0.4,1.6027922871582114
71,0.6,0.5,1.1551696280923536
72,0.6,0.6,0.6683959639563406
73,0.6,0.7,0.40380317273704447
74,0.6,0.8,0.3468210971518249
75,0.6,0.9,0.3185872452234123
76,0.6,0.99,0.32618135599144554
77,0.7,0.01,0.4778831251710949
78,0.7,0.1,0.6097492579363744
79,0.7,0.2,1.1947135742347381
80,0.7,0.3,1.6223905855001675
81,0.7,0.4,1.1465482248569823
82,0.7,0.5,0.703721696368546
83,0.7,0.6,0.521464101603417
84,0.7,0.7,0.3531476212724799
85,0.7,0.8,0.2854289260670958
86,0.7,0.9,0.29549081643704617
87,0.7,0.99,0.28096186099251874
88,0.8,0.01,0.5839084274358138
89,0.8,0.1,0.9298125515711015
90,0.8,0.2,1.6994790873644918
91,0.8,0.3,1.0945333725470612
92,0.8,0.4,0.8192361105274806
93,0.8,0.5,0.3935933265623479
94,0.8,0.6,0.2960248136113425
95,0.8,0.7,0.29325134191556446
96,0.8,0.8,0.2674329686108392
97,0.8,0.9,0.2659072825957564
98,0.8,0.99,0.2691863807539963
99,0.9,0.01,0.8639237570713841
100,0.9,0.1,1.778844211398303
101,0.9,0.2,1.0880274762937452
102,0.9,0.3,0.7390359532451863
103,0.9,0.4,0.3790922678129827
104,0.9,0.5,0.20205531704532642
105,0.9,0.6,0.21918473615118028
106,0.9,0.7,0.13761360068700165
107,0.9,0.8,0.16758467977498948
108,0.9,0.9,0.1555470609078753
109,0.9,0.99,0.14710759888411265
110,0.99,0.01,1.6192776855740276
111,0.99,0.1,1.464420460832183
112,0.99,0.2,0.8688598409711508
113,0.99,0.3,0.6932004075658783
114,0.99,0.4,0.563681211624298
115,0.99,0.5,0.4523243262122105
116,0.99,0.6,0.5089367492236271
117,0.99,0.7,0.1530605843771305
118,0.99,0.8,0.13628450668062145
119,0.99,0.9,0.10590629962554504
120,0.99,0.99,0.1981888577484333
