,P,cost,value
0,0.01,0.01,1.200490375774317e-07
1,0.01,0.1,2.0619025349893196e-07
2,0.01,0.2,1.7847903340805855e-07
3,0.01,0.3,1.7317947696009554e-07
4,0.01,0.4,2.5929510210431827e-07
5,0.01,0.5,1.114932035832408e-06
6,0.01,0.6,1.0729617550304161e-06
7,0.01,0.7,2.852074247863984e-06
8,0.01,0.8,1.770058600354723e-05
9,0.01,0.9,0.00027984848413618245
10,0.01,0.99,0.46101238530229266
11,0.1,0.01,1.506439564777327e-06
12,0.1,0.1,2.0570628840330476e-06
13,0.1,0.2,2.616397216872921e-06
14,0.1,0.3,4.5923878845535055e-06
15,0.1,0.4,1.1283355505738675e-05
16,0.1,0.5,2.7202934191610233e-05
17,0.1,0.6,6.654889701802052e-05
18,0.1,0.7,0.0005845149894092473
19,0.1,0.8,0.014143448086110613
20,0.1,0.9,0.37022202080551225
21,0.1,0.99,0.0011115433515033952
22,0.2,0.01,5.060839930528206e-06
23,0.2,0.1,6.321593746901398e-06
24,0.2,0.2,1.6105995190335707e-05
25,0.2,0.3,1.8971002619690775e-05
26,0.2,0.4,3.795249248216656e-05
27,0.2,0.5,0.0002033787654708522
28,0.2,0.6,0.0010611627742014966
29,0.2,0.7,0.04430429087459628
30,0.2,0.8,0.2965522425752357
31,0.2,0.9,0.039658086273106616
32,0.2,0.99,0.00026596451519132893
33,0.3,0.01,1.3895112234061222e-05
34,0.3,0.1,1.7742735183356458e-05
35,0.3,0.2,4.048830733093544e-05
36,0.3,0.3,9.111660559566931e-05
37,0.3,0.4,0.0005593048677440608
38,0.3,0.5,0.0051936596794554014
39,0.3,0.6,0.054183937875223395
40,0.3,0.7,0.5125069707558074
41,0.3,0.8,0.06058520188650499
42,0.3,0.9,0.0020940588694997727
43,0.3,0.99,0.000259239197184463
44,0.4,0.01,4.791580385794221e-05
45,0.4,0.1,9.059792117011241e-05
46,0.4,0.2,0.000264623422699571
47,0.4,0.3,0.0010512762630184775
48,0.4,0.4,0.012949996807974918
49,0.4,0.5,0.11899778969681643
50,0.4,0.6,0.4424506358330335
51,0.4,0.7,0.1492519306020224
52,0.4,0.8,0.004925471800624659
53,0.4,0.9,0.00024232076048470846
54,0.4,0.99,8.97952462818473e-05
55,0.5,0.01,0.0001543873342023245
56,0.5,0.1,0.001101401917429011
57,0.5,0.2,0.0016002075764252935
58,0.5,0.3,0.011855754571982657
59,0.5,0.4,0.07426398987305396
60,0.5,0.5,0.5445080561489236
61,0.5,0.6,0.12040484541320451
62,0.5,0.7,0.009950059370830194
63,0.5,0.8,0.0006302142339787619
64,0.5,0.9,0.00017171571607156266
65,0.5,0.99,4.046471802773138e-05
66,0.6,0.01,0.0004218235721527936
67,0.6,0.1,0.0013101648945457386
68,0.6,0.2,0.010472335603843773
69,0.6,0.3,0.15382917975993526
70,0.6,0.4,0.6860724052705787
71,0.6,0.5,0.31088042354896167
72,0.6,0.6,0.01237240117673088
73,0.6,0.7,0.000745688603611858
74,0.6,0.8,0.00023540699902098412
75,0.6,0.9,6.440495650031626e-05
76,0.6,0.99,3.2695253267934915e-05
77,0.7,0.01,0.00708530987711065
78,0.7,0.1,0.011324803893572245
79,0.7,0.2,0.3602574928277205
80,0.7,0.3,0.7364353423304161
81,0.7,0.4,0.4193724592147381
82,0.7,0.5,0.01577110611486799
83,0.7,0.6,0.0033963617413877065
84,0.7,0.7,0.00039187292260760634
85,0.7,0.8,7.66656072466935e-05
86,0.7,0.9,5.28228662145172e-05
87,0.7,0.99,2.1864102964335482e-05
88,0.8,0.01,0.05828260454409966
89,0.8,0.1,0.4053216865355834
90,0.8,0.2,1.0125185816555253
91,0.8,0.3,0.5334682383093615
92,0.8,0.4,0.024255918029367433
93,0.8,0.5,0.0014810668111933062
94,0.8,0.6,0.0005268242616411298
95,0.8,0.7,0.00019395479457914804
96,0.8,0.8,4.7784318239918015e-05
97,0.8,0.9,2.2674607188750888e-05
98,0.8,0.99,2.0430334829757656e-05
99,0.9,0.01,1.625798158502965
100,0.9,0.1,2.1135122389845193
101,0.9,0.2,0.6118342623096065
102,0.9,0.3,0.0564922190512479
103,0.9,0.4,0.00336976696401514
104,0.9,0.5,0.0007918355257748257
105,0.9,0.6,0.00015754009993874832
106,0.9,0.7,7.035001453294329e-05
107,0.9,0.8,2.9489499802810672e-05
108,0.9,0.9,1.839125699338287e-05
109,0.9,0.99,1.5488926896234965e-05
110,0.99,0.01,1.5143968682666598
111,0.99,0.1,0.9283846175066828
112,0.99,0.2,0.05520033712082522
113,0.99,0.3,0.007093490322414105
114,0.99,0.4,0.000651050145552449
115,0.99,0.5,0.00015307647656472408
116,0.99,0.6,8.770141059443891e-05
117,0.99,0.7,3.1368957810132926e-05
118,0.99,0.8,1.5195387081757937e-05
119,0.99,0.9,9.660683085258092e-06
120,0.99,0.99,6.965525164544764e-06
