,P,cost,value
0,0.01,0.01,6.543514282249623e-07
1,0.01,0.1,1.1022760137321576e-06
2,0.01,0.2,4.272902406824559e-07
3,0.01,0.3,9.443261484403274e-07
4,0.01,0.4,3.6244632154399126e-07
5,0.01,0.5,1.5977207085832484e-06
6,0.01,0.6,1.22708603065569e-06
7,0.01,0.7,5.518894581247069e-06
8,0.01,0.8,0.00010477982204018086
9,0.01,0.9,0.00844408361450399
10,0.01,0.99,3.616467369055351
11,0.1,0.01,2.67036205532599e-05
12,0.1,0.1,1.8891521177844387e-05
13,0.1,0.2,2.190753662799532e-05
14,0.1,0.3,1.9725503431385665e-05
15,0.1,0.4,1.014821140853575e-05
16,0.1,0.5,3.060982711933607e-05
17,0.1,0.6,0.000143658739585879
18,0.1,0.7,0.0018916106420532027
19,0.1,0.8,0.20867639332322868
20,0.1,0.9,3.165418586942947
21,0.1,0.99,0.19783061333440238
22,0.2,0.01,0.0006929089044503413
23,0.2,0.1,0.00042402779744918893
24,0.2,0.2,0.0007022957867396605
25,0.2,0.3,0.00016353791921044496
26,0.2,0.4,0.00010622688251202621
27,0.2,0.5,0.00019917559076412198
28,0.2,0.6,0.004097204067837595
29,0.2,0.7,0.2925857527914438
30,0.2,0.8,3.2577469361666878
31,0.2,0.9,0.5653477155773281
32,0.2,0.99,0.08817671282802811
33,0.3,0.01,0.01385376073623594
34,0.3,0.1,0.020454361506803506
35,0.3,0.2,0.007340797527755398
36,0.3,0.3,0.005749933902860761
37,0.3,0.4,0.004253327561250812
38,0.3,0.5,0.005961234405390046
39,0.3,0.6,0.25863103198573206
40,0.3,0.7,2.823340157992218
41,0.3,0.8,1.0146262943981523
42,0.3,0.9,0.38146610063720987
43,0.3,0.99,0.2318116437989542
44,0.4,0.01,0.40433380790371204
45,0.4,0.1,0.34836602862810206
46,0.4,0.2,0.269043150202247
47,0.4,0.3,0.1750437959255578
48,0.4,0.4,0.11160932774705312
49,0.4,0.5,0.11291389622953245
50,0.4,0.6,2.4311419012179165
51,0.4,0.7,2.3167654097776325
52,0.4,0.8,1.0155497009971672
53,0.4,0.9,0.6840087299652091
54,0.4,0.99,0.4610408986600395
55,0.5,0.01,1.3425857276713393
56,0.5,0.1,1.4253023483863956
57,0.5,0.2,1.5147290947413534
58,0.5,0.3,1.7982368897302703
59,0.5,0.4,1.7958994608162908
60,0.5,0.5,0.5570451120361388
61,0.5,0.6,1.3843902978728797
62,0.5,0.7,1.6881374603011046
63,0.5,0.8,1.644545257447766
64,0.5,0.9,1.3310725426893115
65,0.5,0.99,1.3173196345331548
66,0.6,0.01,0.5172749017847714
67,0.6,0.1,0.6529788923390094
68,0.6,0.2,1.1976273996390159
69,0.6,0.3,2.22889068313546
70,0.6,0.4,2.686176483471404
71,0.6,0.5,0.31904613503099066
72,0.6,0.6,0.13477214589582825
73,0.6,0.7,0.19004711161260066
74,0.6,0.8,0.24777929832708606
75,0.6,0.9,0.3245121633581899
76,0.6,0.99,0.37298259497488295
77,0.7,0.01,0.11652243604146102
78,0.7,0.1,0.3595121388915885
79,0.7,0.2,1.0054913158150867
80,0.7,0.3,2.6610154535409096
81,0.7,0.4,0.7083783494022723
82,0.7,0.5,0.015117287894795103
83,0.7,0.6,0.0033522151317924944
84,0.7,0.7,0.00896699790429768
85,0.7,0.8,0.015633020021291504
86,0.7,0.9,0.007215882626823958
87,0.7,0.99,0.010151558164980838
88,0.8,0.01,0.13667522791056955
89,0.8,0.1,0.4865785898257532
90,0.8,0.2,2.2135397339706935
91,0.8,0.3,0.9389440409823985
92,0.8,0.4,0.041462706649600195
93,0.8,0.5,0.0015053388839696914
94,0.8,0.6,0.0006327618528900162
95,0.8,0.7,0.00047268860845137037
96,0.8,0.8,0.0002952873054114788
97,0.8,0.9,0.00034660445727342136
98,0.8,0.99,0.0004799989081826213
99,0.9,0.01,0.3829832910366079
100,0.9,0.1,1.650742970193472
101,0.9,0.2,0.8616498335760281
102,0.9,0.3,0.08151687639904294
103,0.9,0.4,0.004200506331131512
104,0.9,0.5,0.000780766121418352
105,0.9,0.6,0.00017371170176323076
106,0.9,0.7,7.990655110568038e-05
107,0.9,0.8,4.4766718284757077e-05
108,0.9,0.9,4.3099790326687383e-05
109,0.9,0.99,4.2785753888393774e-05
110,0.99,0.01,1.048714141301024
111,0.99,0.1,0.968431265970529
112,0.99,0.2,0.0563168817195661
113,0.99,0.3,0.006772174911817461
114,0.99,0.4,0.0006578646455528633
115,0.99,0.5,0.000152319700529094
116,0.99,0.6,8.891630622245581e-05
117,0.99,0.7,3.20426400452372e-05
118,0.99,0.8,1.728403754569544e-05
119,0.99,0.9,1.0692316939191685e-05
120,0.99,0.99,8.411011406472615e-06
