,P,cost,value
0,0.01,0.01,6.453001871051619e-07
1,0.01,0.1,6.752300175521944e-07
2,0.01,0.2,5.106578138677108e-07
3,0.01,0.3,5.22548146951134e-07
4,0.01,0.4,5.69206881045195e-07
5,0.01,0.5,1.2686181971721858e-06
6,0.01,0.6,1.4682123147735653e-06
7,0.01,0.7,4.520056382643359e-06
8,0.01,0.8,7.299870031197036e-05
9,0.01,0.9,0.007633970784887994
10,0.01,0.99,3.6128699619493956
11,0.1,0.01,1.7784699469820692e-05
12,0.1,0.1,1.9756200349895777e-05
13,0.1,0.2,2.6118254467284548e-05
14,0.1,0.3,2.1791591286223233e-05
15,0.1,0.4,2.1694483985479487e-05
16,0.1,0.5,5.2888217418196185e-05
17,0.1,0.6,0.0002205762363964265
18,0.1,0.7,0.002240726240193694
19,0.1,0.8,0.21165702321863436
20,0.1,0.9,3.1793959705050594
21,0.1,0.99,0.1841244377426969
22,0.2,0.01,0.0002304532828244419
23,0.2,0.1,0.00019799061751767265
24,0.2,0.2,0.0001688604851494685
25,0.2,0.3,0.00014486031620499138
26,0.2,0.4,0.00018781019308456863
27,0.2,0.5,0.0009789892662973464
28,0.2,0.6,0.01069558054043352
29,0.2,0.7,0.34204435335393546
30,0.2,0.8,3.251379702185515
31,0.2,0.9,0.3176725300355748
32,0.2,0.99,0.10702178459927472
33,0.3,0.01,0.0016219824975146247
34,0.3,0.1,0.001628110874616041
35,0.3,0.2,0.0014674192496904673
36,0.3,0.3,0.0016755705181927382
37,0.3,0.4,0.002986783352458024
38,0.3,0.5,0.02665366663036048
39,0.3,0.6,0.5486058012847671
40,0.3,0.7,2.9725709895230814
41,0.3,0.8,0.5005990664152892
42,0.3,0.9,0.25329185620213573
43,0.3,0.99,0.21482166789516915
44,0.4,0.01,0.013166339344311119
45,0.4,0.1,0.016223001994340985
46,0.4,0.2,0.014552810526001733
47,0.4,0.3,0.019053087318161965
48,0.4,0.4,0.05214943673830901
49,0.4,0.5,0.6992454219977884
50,0.4,0.6,3.183221199189223
51,0.4,0.7,1.0715186489711435
52,0.4,0.8,0.5994616028790875
53,0.4,0.9,0.4119822057488959
54,0.4,0.99,0.4195791957235376
55,0.5,0.01,0.7782815056630679
56,0.5,0.1,0.75295367770971
57,0.5,0.2,0.8391010604534834
58,0.5,0.3,1.0696048673414764
59,0.5,0.4,1.652808641374385
60,0.5,0.5,1.645101647685585
61,0.5,0.6,1.5080120574701281
62,0.5,0.7,0.9899129598411837
63,0.5,0.8,0.8861150820929543
64,0.5,0.9,0.7604938216920556
65,0.5,0.99,0.8024341857398718
66,0.6,0.01,0.4019910380806554
67,0.6,0.1,0.42061056702289684
68,0.6,0.2,0.6564905094396891
69,0.6,0.3,1.064028586956
70,0.6,0.4,2.4061165246809284
71,0.6,0.5,1.026218396405608
72,0.6,0.6,0.07001321706409878
73,0.6,0.7,0.0170702340901849
74,0.6,0.8,0.015341430873689839
75,0.6,0.9,0.016382723818485566
76,0.6,0.99,0.012877108581262767
77,0.7,0.01,0.24240712024263225
78,0.7,0.1,0.30931589366590856
79,0.7,0.2,0.5302451015280425
80,0.7,0.3,2.3512921762714707
81,0.7,0.4,1.0174338892826043
82,0.7,0.5,0.05964134513078762
83,0.7,0.6,0.011497923598661763
84,0.7,0.7,0.0022670749627354838
85,0.7,0.8,0.0014483804643910729
86,0.7,0.9,0.0016602325536290308
87,0.7,0.99,0.0016405477613956785
88,0.8,0.01,0.16500889922546452
89,0.8,0.1,0.2997656860428576
90,0.8,0.2,2.1426431205423944
91,0.8,0.3,0.9898003819293727
92,0.8,0.4,0.06041050654585614
93,0.8,0.5,0.0030686238605476413
94,0.8,0.6,0.000944347379060273
95,0.8,0.7,0.0004421851819807915
96,0.8,0.8,0.00020354086199718977
97,0.8,0.9,0.00019779271382502895
98,0.8,0.99,0.00021884405796911098
99,0.9,0.01,0.3464185422057726
100,0.9,0.1,1.6189162271176971
101,0.9,0.2,0.8599902488059816
102,0.9,0.3,0.08227594158420307
103,0.9,0.4,0.004482341662474971
104,0.9,0.5,0.000861858154337898
105,0.9,0.6,0.00020986008708171058
106,0.9,0.7,9.394983445883428e-05
107,0.9,0.8,5.392590128321104e-05
108,0.9,0.9,4.701311398493747e-05
109,0.9,0.99,4.970830874519534e-05
110,0.99,0.01,1.046512913330401
111,0.99,0.1,0.962642376118258
112,0.99,0.2,0.05626144056759464
113,0.99,0.3,0.006754064694698811
114,0.99,0.4,0.0006648663775038815
115,0.99,0.5,0.0001631308642384072
116,0.99,0.6,8.970973336929856e-05
117,0.99,0.7,3.486944605761335e-05
118,0.99,0.8,1.7071771596542335e-05
119,0.99,0.9,1.1172687682516435e-05
120,0.99,0.99,8.055542465692684e-06
