,P,cost,value
0,0.01,0.01,1.5985210755948316
1,0.01,0.1,1.4095293509352542
2,0.01,0.2,1.4429973939429053
3,0.01,0.3,1.5491415098067463
4,0.01,0.4,1.5535380057994628
5,0.01,0.5,1.7023859811948512
6,0.01,0.6,1.4736196327614
7,0.01,0.7,1.6538105826217961
8,0.01,0.8,1.9825923072148481
9,0.01,0.9,1.962303166182246
10,0.01,0.99,0.5568166595089475
11,0.1,0.01,1.5985698192396796
12,0.1,0.1,1.888889183146861
13,0.1,0.2,1.9927151488768649
14,0.1,0.3,2.0555471469919526
15,0.1,0.4,1.8811314918956028
16,0.1,0.5,2.192242449860562
17,0.1,0.6,2.1032638515818296
18,0.1,0.7,2.050614831280558
19,0.1,0.8,1.8494320668502706
20,0.1,0.9,0.5951907125726777
21,0.1,0.99,1.3245082345676602
22,0.2,0.01,1.937399775103038
23,0.2,0.1,2.000451488696298
24,0.2,0.2,2.048417703606855
25,0.2,0.3,2.1002753900755966
26,0.2,0.4,1.941937401231792
27,0.2,0.5,1.928083478426332
28,0.2,0.6,1.796120909026004
29,0.2,0.7,1.28313723814078
30,0.2,0.8,0.5690293140284313
31,0.2,0.9,1.4061174236643812
32,0.2,0.99,1.3731526165524794
33,0.3,0.01,1.8298638765730149
34,0.3,0.1,2.1026973835630955
35,0.3,0.2,1.864692030517003
36,0.3,0.3,1.7375459955809331
37,0.3,0.4,1.9596116838109938
38,0.3,0.5,1.5480137854485205
39,0.3,0.6,1.552242237450334
40,0.3,0.7,0.5215955956722688
41,0.3,0.8,1.2993922267508162
42,0.3,0.9,1.557710670757585
43,0.3,0.99,1.5603974467258332
44,0.4,0.01,1.847744528924706
45,0.4,0.1,1.8603126319923953
46,0.4,0.2,1.8892892430583412
47,0.4,0.3,1.912947979021605
48,0.4,0.4,1.5599860530087264
49,0.4,0.5,1.3549681305626495
50,0.4,0.6,0.8153279402355146
51,0.4,0.7,1.389664497333005
52,0.4,0.8,1.480280007293411
53,0.4,0.9,1.7719617491091277
54,0.4,0.99,1.5299139296734494
55,0.5,0.01,1.7275175879671567
56,0.5,0.1,1.8331363646820535
57,0.5,0.2,1.6884635859005144
58,0.5,0.3,1.6531029803171207
59,0.5,0.4,1.4112994564496015
60,0.5,0.5,0.7768774607996993
61,0.5,0.6,1.3016354066797415
62,0.5,0.7,1.6624113548124517
63,0.5,0.8,1.7946029585243692
64,0.5,0.9,1.7510895020000228
65,0.5,0.99,1.6727421196548433
66,0.6,0.01,1.6186083510799958
67,0.6,0.1,1.526254334732672
68,0.6,0.2,1.624719837572092
69,0.6,0.3,1.6914014794228203
70,0.6,0.4,0.9241669550501975
71,0.6,0.5,1.2903901424851816
72,0.6,0.6,1.7251695841185453
73,0.6,0.7,1.6678965556062715
74,0.6,0.8,1.6633447742343133
75,0.6,0.9,1.8348660365457006
76,0.6,0.99,1.8835187542786564
77,0.7,0.01,1.6469173618692894
78,0.7,0.1,1.7644112176586013
79,0.7,0.2,1.5936575543871707
80,0.7,0.3,1.0098263555901368
81,0.7,0.4,1.5134026749057459
82,0.7,0.5,1.9751021669963384
83,0.7,0.6,1.856487644565271
84,0.7,0.7,1.8693257053569856
85,0.7,0.8,1.8221275934895322
86,0.7,0.9,1.9444572542757999
87,0.7,0.99,1.7470657921288992
88,0.8,0.01,1.5468654399888713
89,0.8,0.1,1.6635397022318794
90,0.8,0.2,1.2284146000517335
91,0.8,0.3,1.497867604997685
92,0.8,0.4,2.1836859847202184
93,0.8,0.5,2.0605186115716534
94,0.8,0.6,1.9862419743165591
95,0.8,0.7,1.8532902997648137
96,0.8,0.8,2.0713911439159305
97,0.8,0.9,2.0035385840707503
98,0.8,0.99,1.9167692532026055
99,0.9,0.01,1.7594537094204208
100,0.9,0.1,1.3739713523950794
101,0.9,0.2,1.5990262484339213
102,0.9,0.3,1.9661737780440711
103,0.9,0.4,2.007387193775754
104,0.9,0.5,1.9052290334922097
105,0.9,0.6,1.8099134590996222
106,0.9,0.7,2.0663923986498016
107,0.9,0.8,1.9933684002502428
108,0.9,0.9,2.0316909670908325
109,0.9,0.99,2.0270465990968654
110,0.99,0.01,1.6475413099467608
111,0.99,0.1,1.6826975381129705
112,0.99,0.2,2.1126324573371074
113,0.99,0.3,1.715432801272827
114,0.99,0.4,1.6558921510691769
115,0.99,0.5,1.574726746336971
116,0.99,0.6,1.5107479279489058
117,0.99,0.7,1.6770708955043823
118,0.99,0.8,1.5001969248200866
119,0.99,0.9,1.505690685679322
120,0.99,0.99,1.4130370438239568
