,P,cost,value
0,0.01,0.01,0.4961386885095231
1,0.01,0.1,0.41956175908411797
2,0.01,0.2,0.4314199260733717
3,0.01,0.3,0.5064302099273171
4,0.01,0.4,0.5123899566503003
5,0.01,0.5,0.5544140225758161
6,0.01,0.6,0.5168936192697446
7,0.01,0.7,0.574358322768364
8,0.01,0.8,0.672886071195171
9,0.01,0.9,0.7863740024036572
10,0.01,0.99,1.0469626173816187
11,0.1,0.01,0.5685992799205198
12,0.1,0.1,0.7223268006878242
13,0.1,0.2,0.6776809275943678
14,0.1,0.3,0.7094131110017623
15,0.1,0.4,0.6553838276862344
16,0.1,0.5,0.8078331203415661
17,0.1,0.6,0.7147838734208549
18,0.1,0.7,0.7809786907406459
19,0.1,0.8,0.6536142978100123
20,0.1,0.9,1.8805465423328618
21,0.1,0.99,1.3712725005129922
22,0.2,0.01,0.7252340266547569
23,0.2,0.1,0.7297454182991948
24,0.2,0.2,0.7860746477564993
25,0.2,0.3,0.8658135941052305
26,0.2,0.4,0.6976007136767264
27,0.2,0.5,0.6818081797478894
28,0.2,0.6,0.6215594908062381
29,0.2,0.7,0.4116290055922645
30,0.2,0.8,1.9982125761228196
31,0.2,0.9,1.547515253384201
32,0.2,0.99,1.0662360167848042
33,0.3,0.01,0.668986122149293
34,0.3,0.1,0.7326217119232221
35,0.3,0.2,0.6746623607764264
36,0.3,0.3,0.7258693140546547
37,0.3,0.4,0.6840989594646434
38,0.3,0.5,0.5391746519002457
39,0.3,0.6,0.4085588933997156
40,0.3,0.7,1.9281646850550693
41,0.3,0.8,1.560175103431265
42,0.3,0.9,1.1504371902733062
43,0.3,0.99,0.8774035172255422
44,0.4,0.01,0.8247898862542381
45,0.4,0.1,0.7344944369151483
46,0.4,0.2,0.7557982340535361
47,0.4,0.3,0.6483596481707133
48,0.4,0.4,0.5574789474314743
49,0.4,0.5,0.3480966862649366
50,0.4,0.6,2.1642723394007284
51,0.4,0.7,1.6629163350422465
52,0.4,0.8,1.197412165697262
53,0.4,0.9,0.8660742026877741
54,0.4,0.99,0.6103414805062574
55,0.5,0.01,0.7542643741334993
56,0.5,0.1,0.6910224955236977
57,0.5,0.2,0.5947820085803925
58,0.5,0.3,0.5904902023241292
59,0.5,0.4,0.3378761177746601
60,0.5,0.5,1.8194380502259477
61,0.5,0.6,1.4813797058806015
62,0.5,0.7,1.3863476948476863
63,0.5,0.8,1.0758632684658178
64,0.5,0.9,0.6918027965455609
65,0.5,0.99,0.5798254808903704
66,0.6,0.01,0.7252529945497134
67,0.6,0.1,0.701910296099487
68,0.6,0.2,0.5151906187880668
69,0.6,0.3,0.44910491532624863
70,0.6,0.4,1.8435875314817691
71,0.6,0.5,1.534759189027003
72,0.6,0.6,1.4280814650024136
73,0.6,0.7,0.9004778557929114
74,0.6,0.8,0.7964812352314299
75,0.6,0.9,0.5724083478786366
76,0.6,0.99,0.5202259841571668
77,0.7,0.01,0.6039205276334239
78,0.7,0.1,0.6567151789188472
79,0.7,0.2,0.42672631869559946
80,0.7,0.3,1.6965382307843655
81,0.7,0.4,1.4397285748304594
82,0.7,0.5,1.5724881285605872
83,0.7,0.6,0.9304773188081887
84,0.7,0.7,0.872116830988767
85,0.7,0.8,0.6466745140531067
86,0.7,0.9,0.490670739517065
87,0.7,0.99,0.4644216845598658
88,0.8,0.01,0.6411007072665471
89,0.8,0.1,0.5937056256746787
90,0.8,0.2,1.5346719384762686
91,0.8,0.3,1.6641349447235834
92,0.8,0.4,1.5927747068687217
93,0.8,0.5,1.0296256834383546
94,0.8,0.6,0.7730190071806109
95,0.8,0.7,0.6083352820481283
96,0.8,0.8,0.5833465798833246
97,0.8,0.9,0.5362045225463625
98,0.8,0.99,0.5128423089705598
99,0.9,0.01,0.798050947166008
100,0.9,0.1,1.2955982444087337
101,0.9,0.2,1.79174477539199
102,0.9,0.3,1.4787413329269894
103,0.9,0.4,1.2576812223897738
104,0.9,0.5,0.8139793891450653
105,0.9,0.6,0.6489971856774264
106,0.9,0.7,0.6655857200717508
107,0.9,0.8,0.6203798257952392
108,0.9,0.9,0.5427946527286727
109,0.9,0.99,0.5780073460176942
110,0.99,0.01,1.5475325282298982
111,0.99,0.1,1.7858572162580262
112,0.99,0.2,1.6081026409165042
113,0.99,0.3,1.2991856348341493
114,0.99,0.4,1.1070912002791131
115,0.99,0.5,0.8378895359593503
116,0.99,0.6,0.995347677756615
117,0.99,0.7,0.6850735895975878
118,0.99,0.8,0.7646060356104277
119,0.99,0.9,0.6271632645636644
120,0.99,0.99,0.895243681083181
