,P,cost,value
0,0.01,0.01,0.0962919544459721
1,0.01,0.1,0.13328306059843312
2,0.01,0.2,0.15734758411326985
3,0.01,0.3,0.11588087787315002
4,0.01,0.4,0.1453737091718685
5,0.01,0.5,0.14935029297235713
6,0.01,0.6,0.139828629206373
7,0.01,0.7,0.2170932562247148
8,0.01,0.8,0.25657735459378506
9,0.01,0.9,0.5574206451370531
10,0.01,0.99,1.4939424570353776
11,0.1,0.01,0.13204494893449434
12,0.1,0.1,0.1639637483732973
13,0.1,0.2,0.16569340136348576
14,0.1,0.3,0.16387828355690587
15,0.1,0.4,0.1788012920332735
16,0.1,0.5,0.19137013690398974
17,0.1,0.6,0.2266930277204673
18,0.1,0.7,0.38269863457122383
19,0.1,0.8,1.0992786603696734
20,0.1,0.9,2.116024918741331
21,0.1,0.99,0.2712756069903416
22,0.2,0.01,0.23910211698812636
23,0.2,0.1,0.24528349563340002
24,0.2,0.2,0.2897088931189804
25,0.2,0.3,0.2431949125365966
26,0.2,0.4,0.23182187771572796
27,0.2,0.5,0.3198757865293775
28,0.2,0.6,0.6133140494762097
29,0.2,0.7,1.1133620650215579
30,0.2,0.8,1.4604247404865702
31,0.2,0.9,0.6208713585715188
32,0.2,0.99,0.4044744302897939
33,0.3,0.01,0.3052762123144688
34,0.3,0.1,0.31065654959148964
35,0.3,0.2,0.2900748982299509
36,0.3,0.3,0.2911099290308248
37,0.3,0.4,0.41898834574431915
38,0.3,0.5,0.7625168290033804
39,0.3,0.6,1.259843948324261
40,0.3,0.7,1.3898946358077946
41,0.3,0.8,1.1190398008997477
42,0.3,0.9,0.44308253882401677
43,0.3,0.99,0.3608020374611929
44,0.4,0.01,0.3076738778694041
45,0.4,0.1,0.3406394419651405
46,0.4,0.2,0.3472511184642857
47,0.4,0.3,0.46379623755674704
48,0.4,0.4,0.7392054543903642
49,0.4,0.5,1.2024615834379786
50,0.4,0.6,1.4845558979078057
51,0.4,0.7,1.2502765515704815
52,0.4,0.8,0.6023698081462119
53,0.4,0.9,0.44681353417045344
54,0.4,0.99,0.3735840321030132
55,0.5,0.01,0.34870290399980824
56,0.5,0.1,0.3779048018165335
57,0.5,0.2,0.4914042715778908
58,0.5,0.3,0.797735863733416
59,0.5,0.4,1.2403435229749558
60,0.5,0.5,1.3845160976242878
61,0.5,0.6,1.093675253321357
62,0.5,0.7,0.6730956953324541
63,0.5,0.8,0.4647990058229736
64,0.5,0.9,0.4114790615699584
65,0.5,0.99,0.40237080904000155
66,0.6,0.01,0.44084863551661163
67,0.6,0.1,0.42288756681356426
68,0.6,0.2,0.6452801483402013
69,0.6,0.3,1.1404245811742622
70,0.6,0.4,1.632746759410921
71,0.6,0.5,1.1671973662954098
72,0.6,0.6,0.6792995428679884
73,0.6,0.7,0.405760256447654
74,0.6,0.8,0.3459678696905324
75,0.6,0.9,0.3187560899158565
76,0.6,0.99,0.3257226781349104
77,0.7,0.01,0.469271271033713
78,0.7,0.1,0.5835389683987862
79,0.7,0.2,1.1690780072764508
80,0.7,0.3,1.6530506969836403
81,0.7,0.4,1.1481112327158014
82,0.7,0.5,0.7316625925764233
83,0.7,0.6,0.540151421434824
84,0.7,0.7,0.3549539848416606
85,0.7,0.8,0.2881380049989525
86,0.7,0.9,0.29819944226387196
87,0.7,0.99,0.2862919426598046
88,0.8,0.01,0.5473219212064696
89,0.8,0.1,0.8655365431224962
90,0.8,0.2,1.6716471299760947
91,0.8,0.3,1.0660731380556163
92,0.8,0.4,0.8524862623660192
93,0.8,0.5,0.40362874821054817
94,0.8,0.6,0.3064071319171011
95,0.8,0.7,0.29617041567744484
96,0.8,0.8,0.26976813759945534
97,0.8,0.9,0.2653772361960031
98,0.8,0.99,0.2727720750938504
99,0.9,0.01,0.7920831424366044
100,0.9,0.1,1.6260426931340064
101,0.9,0.2,1.0815942194289032
102,0.9,0.3,0.8207294357834531
103,0.9,0.4,0.4320985739319266
104,0.9,0.5,0.25903834428768796
105,0.9,0.6,0.22936942624736753
106,0.9,0.7,0.15392039106026292
107,0.9,0.8,0.1866174926718302
108,0.9,0.9,0.17308910795592172
109,0.9,0.99,0.15760312323926676
110,0.99,0.01,1.5614045495094055
111,0.99,0.1,1.5348460040538994
112,0.99,0.2,0.9983371149115394
113,0.99,0.3,0.8478575050479706
114,0.99,0.4,0.5951753844888641
115,0.99,0.5,0.4665296569268082
116,0.99,0.6,0.48375079819672323
117,0.99,0.7,0.14575886407028577
118,0.99,0.8,0.12626480158745237
119,0.99,0.9,0.08799339560448188
120,0.99,0.99,0.20257209655482716
