,P,cost,value
0,0.01,0.01,1.3017622566969957
1,0.01,0.1,1.3292109642949597
2,0.01,0.2,1.326245668236652
3,0.01,0.3,1.4532407585995086
4,0.01,0.4,1.4945328114764445
5,0.01,0.5,1.600274806918268
6,0.01,0.6,1.3372615334070201
7,0.01,0.7,1.4861241142711474
8,0.01,0.8,1.813682822288706
9,0.01,0.9,2.2010494540510215
10,0.01,0.99,0.4752669757120457
11,0.1,0.01,1.2044329940251837
12,0.1,0.1,1.4232966475017519
13,0.1,0.2,1.2271046321016472
14,0.1,0.3,1.407452878955835
15,0.1,0.4,1.3963983782597316
16,0.1,0.5,1.4883228351648867
17,0.1,0.6,1.6289849124403821
18,0.1,0.7,1.767372400192905
19,0.1,0.8,2.0558898363618026
20,0.1,0.9,0.3844601969632428
21,0.1,0.99,1.6272122981969774
22,0.2,0.01,1.3551086755784028
23,0.2,0.1,1.4799122492688332
24,0.2,0.2,1.2844996854509407
25,0.2,0.3,1.4925861785698877
26,0.2,0.4,1.610934138676727
27,0.2,0.5,1.6222561789783454
28,0.2,0.6,1.8368574660889676
29,0.2,0.7,1.5658812380056064
30,0.2,0.8,0.3147274269870636
31,0.2,0.9,1.625525759413513
32,0.2,0.99,1.4944013328360664
33,0.3,0.01,1.307046567987073
34,0.3,0.1,1.5752826924398393
35,0.3,0.2,1.5525623832009168
36,0.3,0.3,1.3488417376544621
37,0.3,0.4,1.6384022729703005
38,0.3,0.5,1.7683188248887278
39,0.3,0.6,1.8612862076194172
40,0.3,0.7,0.5175933924838296
41,0.3,0.8,1.5260914014420666
42,0.3,0.9,1.616488947638587
43,0.3,0.99,1.4971448201246544
44,0.4,0.01,1.4789620048387566
45,0.4,0.1,1.3730873464999265
46,0.4,0.2,1.5247055124530857
47,0.4,0.3,1.6975095968353127
48,0.4,0.4,1.7288701600918306
49,0.4,0.5,1.7055471428775173
50,0.4,0.6,0.44856321288431056
51,0.4,0.7,1.519219974339928
52,0.4,0.8,1.6204900138979799
53,0.4,0.9,1.693282217364174
54,0.4,0.99,1.4046836625604442
55,0.5,0.01,1.3320543639972529
56,0.5,0.1,1.3873158530573866
57,0.5,0.2,1.4810744571780934
58,0.5,0.3,1.7959554967377844
59,0.5,0.4,1.8064307433164426
60,0.5,0.5,0.5704378574993703
61,0.5,0.6,1.4444596704001489
62,0.5,0.7,1.713648778914634
63,0.5,0.8,1.6508353200945907
64,0.5,0.9,1.3461327427008538
65,0.5,0.99,1.3447183689713902
66,0.6,0.01,1.5477396198617699
67,0.6,0.1,1.5765938867357683
68,0.6,0.2,1.850590169541567
69,0.6,0.3,2.004471570146041
70,0.6,0.4,0.6482718303779976
71,0.6,0.5,1.400171608764727
72,0.6,0.6,1.966799937070888
73,0.6,0.7,1.645404923531224
74,0.6,0.8,1.3573612493823304
75,0.6,0.9,1.3761199387107865
76,0.6,0.99,1.3572526503068836
77,0.7,0.01,1.573262055792659
78,0.7,0.1,1.7603261035401405
79,0.7,0.2,1.8695979741488455
80,0.7,0.3,0.7114827103789751
81,0.7,0.4,1.6675745113401672
82,0.7,0.5,1.9576742190567793
83,0.7,0.6,1.6577147917302022
84,0.7,0.7,1.5679091473237519
85,0.7,0.8,1.5144615269805843
86,0.7,0.9,1.3450156025103552
87,0.7,0.99,1.284217163830116
88,0.8,0.01,1.4627309334633947
89,0.8,0.1,1.7710285442050688
90,0.8,0.2,1.0058183520892943
91,0.8,0.3,1.5742142562817893
92,0.8,0.4,2.0105516503465832
93,0.8,0.5,1.613004420153411
94,0.8,0.6,1.605412525449671
95,0.8,0.7,1.4302909790815723
96,0.8,0.8,1.30370342821429
97,0.8,0.9,1.2346410396537182
98,0.8,0.99,1.3220394247218603
99,0.9,0.01,1.9324673441036488
100,0.9,0.1,1.1950144681156754
101,0.9,0.2,1.8426242903075896
102,0.9,0.3,1.823068282487181
103,0.9,0.4,1.7845750061039045
104,0.9,0.5,1.575522713826465
105,0.9,0.6,1.3913196932674072
106,0.9,0.7,1.5347187348679614
107,0.9,0.8,1.3108429000606436
108,0.9,0.9,1.3003244603073159
109,0.9,0.99,1.494316774241669
110,0.99,0.01,1.7770212436682156
111,0.99,0.1,1.978913893672575
112,0.99,0.2,2.040150507605179
113,0.99,0.3,1.7031345947752121
114,0.99,0.4,1.7393677680088429
115,0.99,0.5,1.4075244276731516
116,0.99,0.6,1.5123046986824453
117,0.99,0.7,1.296951227462793
118,0.99,0.8,1.400921725339197
119,0.99,0.9,1.2020504050945866
120,0.99,0.99,1.3174946472266493
