,P,cost,value
0,0.01,0.01,3.0364143046973314e-15
1,0.01,0.1,2.8608446115907795e-15
2,0.01,0.2,3.2482325359079567e-15
3,0.01,0.3,2.7285297859879227e-15
4,0.01,0.4,2.3075552236602768e-15
5,0.01,0.5,3.060673659425244e-15
6,0.01,0.6,3.774758283725532e-15
7,0.01,0.7,4.339821898667232e-15
8,0.01,0.8,4.940180589338314e-15
9,0.01,0.9,1.0752554413787197e-14
10,0.01,0.99,2.8430815269973657e-14
11,0.1,0.01,4.849527372528318e-15
12,0.1,0.1,5.20267141095764e-15
13,0.1,0.2,6.560657218687885e-15
14,0.1,0.3,5.411696693859521e-15
15,0.1,0.4,6.92266567098083e-15
16,0.1,0.5,7.11236286667781e-15
17,0.1,0.6,7.98743549017764e-15
18,0.1,0.7,1.0695084443661336e-14
19,0.1,0.8,1.7083370776191746e-14
20,0.1,0.9,2.8864304070567594e-14
21,0.1,0.99,1.836941077466253e-14
22,0.2,0.01,6.323399966267358e-15
23,0.2,0.1,5.277940006822452e-15
24,0.2,0.2,6.760519853993653e-15
25,0.2,0.3,8.346632775696473e-15
26,0.2,0.4,8.89010697021302e-15
27,0.2,0.5,1.068124563979262e-14
28,0.2,0.6,1.2930166592131679e-14
29,0.2,0.7,1.936917629097354e-14
30,0.2,0.8,3.379494085565187e-14
31,0.2,0.9,2.3553741901199488e-14
32,0.2,0.99,1.4971142397823887e-14
33,0.3,0.01,6.141450319825085e-15
34,0.3,0.1,7.549516567451064e-15
35,0.3,0.2,9.030420592487489e-15
36,0.3,0.3,1.0678937428930488e-14
37,0.3,0.4,1.1354710661089481e-14
38,0.3,0.5,1.4461906772508276e-14
39,0.3,0.6,2.0696653631324303e-14
40,0.3,0.7,3.400274386231484e-14
41,0.3,0.8,2.4979031169660844e-14
42,0.3,0.9,1.385423108662431e-14
43,0.3,0.99,1.117305858980544e-14
44,0.4,0.01,8.817715292004272e-15
45,0.4,0.1,8.556643779299519e-15
46,0.4,0.2,1.0119486462217469e-14
47,0.4,0.3,1.3125071435144207e-14
48,0.4,0.4,1.4032797421248375e-14
49,0.4,0.5,2.151026668396772e-14
50,0.4,0.6,3.3400003795618156e-14
51,0.4,0.7,2.5202551739278294e-14
52,0.4,0.8,1.4697356992414398e-14
53,0.4,0.9,1.1982181969500553e-14
54,0.4,0.99,7.993605777301127e-15
55,0.5,0.01,9.438854723079385e-15
56,0.5,0.1,1.1365560840976598e-14
57,0.5,0.2,1.3078031389059693e-14
58,0.5,0.3,1.6662964524192806e-14
59,0.5,0.4,2.620314504752699e-14
60,0.5,0.5,3.86475635496744e-14
61,0.5,0.6,2.300707863687389e-14
62,0.5,0.7,1.461114240829362e-14
63,0.5,0.8,1.216391070073749e-14
64,0.5,0.9,9.23289128986395e-15
65,0.5,0.99,9.817787014225374e-15
66,0.6,0.01,1.1757885593931518e-14
67,0.6,0.1,1.0839325212915905e-14
68,0.6,0.2,1.6206214167165035e-14
69,0.6,0.3,1.99704404407063e-14
70,0.6,0.4,3.3666678027136344e-14
71,0.6,0.5,2.4478844197086244e-14
72,0.6,0.6,1.640126728885195e-14
73,0.6,0.7,1.1814358908444535e-14
74,0.6,0.8,1.0485584803203802e-14
75,0.6,0.9,8.634081047997269e-15
76,0.6,0.99,8.79812345473805e-15
77,0.7,0.01,1.540771977500072e-14
78,0.7,0.1,1.520640828213254e-14
79,0.7,0.2,2.3826896708858307e-14
80,0.7,0.3,3.567687481444734e-14
81,0.7,0.4,2.491207870249576e-14
82,0.7,0.5,1.8854515940932094e-14
83,0.7,0.6,1.2053975194117296e-14
84,0.7,0.7,1.0731900677991188e-14
85,0.7,0.8,9.815275750080385e-15
86,0.7,0.9,8.402562169795625e-15
87,0.7,0.99,7.397785161770223e-15
88,0.8,0.01,1.5107602278104822e-14
89,0.8,0.1,1.910874123285403e-14
90,0.8,0.2,3.3337762490054025e-14
91,0.8,0.3,2.6923080030585527e-14
92,0.8,0.4,1.606565988146767e-14
93,0.8,0.5,1.2776732899069821e-14
94,0.8,0.6,9.296750665059117e-15
95,0.8,0.7,8.699502462476853e-15
96,0.8,0.8,7.656515266048678e-15
97,0.8,0.9,7.437665694196227e-15
98,0.8,0.99,8.030527940416976e-15
99,0.9,0.01,2.1793200057578177e-14
100,0.9,0.1,3.3402033456294125e-14
101,0.9,0.2,2.426491413820236e-14
102,0.9,0.3,1.475093300008221e-14
103,0.9,0.4,1.3268907011657538e-14
104,0.9,0.5,1.0053497077208614e-14
105,0.9,0.6,8.730617673852193e-15
106,0.9,0.7,8.070336330495141e-15
107,0.9,0.8,7.711056395269962e-15
108,0.9,0.9,7.049697655142648e-15
109,0.9,0.99,6.6093246725072846e-15
110,0.99,0.01,3.296371631256657e-14
111,0.99,0.1,2.3792211525083083e-14
112,0.99,0.2,1.4355831967844614e-14
113,0.99,0.3,1.1959529375267437e-14
114,0.99,0.4,1.0085323642151213e-14
115,0.99,0.5,8.730617673852193e-15
116,0.99,0.6,7.529898907871222e-15
117,0.99,0.7,6.92266567098083e-15
118,0.99,0.8,5.995204332975845e-15
119,0.99,0.9,5.8873233326485656e-15
120,0.99,0.99,5.287273241356986e-15
