,P,cost,value
0,0.01,0.01,1.200490375774317e-07
1,0.01,0.1,2.0619025349893196e-07
2,0.01,0.2,1.7847903340805855e-07
3,0.01,0.3,1.7317947696009554e-07
4,0.01,0.4,2.5929510210431827e-07
5,0.01,0.5,7.454845196595096e-07
6,0.01,0.6,1.079956287524017e-06
7,0.01,0.7,2.852074247863984e-06
8,0.01,0.8,1.2375280930485932e-05
9,0.01,0.9,0.00027895050851432817
10,0.01,0.99,0.4722207241850064
11,0.1,0.01,1.5065589020845783e-06
12,0.1,0.1,2.0356633126684244e-06
13,0.1,0.2,2.597287152245125e-06
14,0.1,0.3,4.596857052010473e-06
15,0.1,0.4,1.3652176087974303e-05
16,0.1,0.5,2.4699378398203174e-05
17,0.1,0.6,5.894719086219437e-05
18,0.1,0.7,0.0006004031395412078
19,0.1,0.8,0.013761255799487799
20,0.1,0.9,0.3936955992063942
21,0.1,0.99,0.0011115593381614938
22,0.2,0.01,5.0096941212011795e-06
23,0.2,0.1,6.431146655863152e-06
24,0.2,0.2,1.5941206881593662e-05
25,0.2,0.3,1.898093166456101e-05
26,0.2,0.4,3.5333861377033065e-05
27,0.2,0.5,0.0001844729183824627
28,0.2,0.6,0.001097547253669987
29,0.2,0.7,0.045591000849445784
30,0.2,0.8,0.3374049427368685
31,0.2,0.9,0.03864781526680701
32,0.2,0.99,0.00026596451519132893
33,0.3,0.01,1.397773127917186e-05
34,0.3,0.1,1.8803724472943983e-05
35,0.3,0.2,3.627457501960542e-05
36,0.3,0.3,9.250479977304164e-05
37,0.3,0.4,0.0005002989594651542
38,0.3,0.5,0.005344148157502836
39,0.3,0.6,0.05435096429428907
40,0.3,0.7,0.5109628199403494
41,0.3,0.8,0.06676174110681024
42,0.3,0.9,0.0022887686668345824
43,0.3,0.99,0.000259239197184463
44,0.4,0.01,4.651346855830194e-05
45,0.4,0.1,9.196992901305606e-05
46,0.4,0.2,0.0002506148870251258
47,0.4,0.3,0.0010565413823659991
48,0.4,0.4,0.012958596798147011
49,0.4,0.5,0.11480924075836593
50,0.4,0.6,0.43976218927443445
51,0.4,0.7,0.14958137641033678
52,0.4,0.8,0.005012192582174334
53,0.4,0.9,0.000244128602336112
54,0.4,0.99,8.97952462818473e-05
55,0.5,0.01,0.00015142645716984896
56,0.5,0.1,0.0013091674160950917
57,0.5,0.2,0.0016484922073084032
58,0.5,0.3,0.011419219159016315
59,0.5,0.4,0.07380888316861585
60,0.5,0.5,0.5513835380094371
61,0.5,0.6,0.11911593454985928
62,0.5,0.7,0.01009050650442072
63,0.5,0.8,0.0006737823665210891
64,0.5,0.9,0.00017345067745588345
65,0.5,0.99,4.046471802773138e-05
66,0.6,0.01,0.00047625650941752925
67,0.6,0.1,0.0011623485698477808
68,0.6,0.2,0.009859409826754246
69,0.6,0.3,0.14227988945497763
70,0.6,0.4,0.6356117259602296
71,0.6,0.5,0.31152359860233575
72,0.6,0.6,0.012172143102042291
73,0.6,0.7,0.0007299115038660736
74,0.6,0.8,0.00022977614122198165
75,0.6,0.9,6.389755989821171e-05
76,0.6,0.99,3.2695253267934915e-05
77,0.7,0.01,0.0025507649830237593
78,0.7,0.1,0.01225201475417794
79,0.7,0.2,0.361997775923189
80,0.7,0.3,0.7140952970514203
81,0.7,0.4,0.4149381076680358
82,0.7,0.5,0.014503138084953595
83,0.7,0.6,0.003367960809409149
84,0.7,0.7,0.00038411215458907183
85,0.7,0.8,7.83607388658844e-05
86,0.7,0.9,5.4194951456436183e-05
87,0.7,0.99,2.1864102964335482e-05
88,0.8,0.01,0.03555304097592318
89,0.8,0.1,0.2725780074969689
90,0.8,0.2,0.9942830562589107
91,0.8,0.3,0.531393548136641
92,0.8,0.4,0.023308063631648515
93,0.8,0.5,0.0014815822388696467
94,0.8,0.6,0.0004695229959085542
95,0.8,0.7,0.00019443038397266805
96,0.8,0.8,4.785785561938232e-05
97,0.8,0.9,2.263017087593151e-05
98,0.8,0.99,2.0430334829757656e-05
99,0.9,0.01,0.4751626296981592
100,0.9,0.1,1.2009213109917396
101,0.9,0.2,0.60556579364357
102,0.9,0.3,0.05613347189650827
103,0.9,0.4,0.0033569405726491513
104,0.9,0.5,0.0007567528582127539
105,0.9,0.6,0.00016928021943337176
106,0.9,0.7,7.026912708806169e-05
107,0.9,0.8,2.944698397567434e-05
108,0.9,0.9,1.8390274016700967e-05
109,0.9,0.99,1.5488926896234965e-05
110,0.99,0.01,1.7756601959541736
111,0.99,0.1,0.9402685001062334
112,0.99,0.2,0.05509935072863437
113,0.99,0.3,0.007093490322414105
114,0.99,0.4,0.0006501422022692019
115,0.99,0.5,0.00015216394348093205
116,0.99,0.6,8.770141059443891e-05
117,0.99,0.7,3.1368957810132926e-05
118,0.99,0.8,1.5195387081757937e-05
119,0.99,0.9,9.660683085258092e-06
120,0.99,0.99,6.965525164544764e-06
