,P,cost,value
0,0.01,0.01,5.327412531409529e-07
1,0.01,0.1,0.005535831220821932
2,0.01,0.2,0.1467322500680102
3,0.01,0.3,0.6579052074297682
4,0.01,0.4,1.1568724823741312
5,0.01,0.5,1.600274806918268
6,0.01,0.6,1.4363341906079548
7,0.01,0.7,1.5817726230043527
8,0.01,0.8,1.653199015199107
9,0.01,0.9,2.066074151070677
10,0.01,0.99,1.1583498595378061
11,0.1,0.01,1.506514065748332e-06
12,0.1,0.1,3.464646325342266e-05
13,0.1,0.2,0.00195362993512983
14,0.1,0.3,0.06378432236319698
15,0.1,0.4,0.7488822869603134
16,0.1,0.5,1.4883228351648867
17,0.1,0.6,1.258991883034242
18,0.1,0.7,1.1016045734585158
19,0.1,0.8,1.380308017189389
20,0.1,0.9,3.450150436939567
21,0.1,0.99,0.0011122193728792824
22,0.2,0.01,5.0096941212011795e-06
23,0.2,0.1,1.024437452687462e-05
24,0.2,0.2,0.0007105695970749293
25,0.2,0.3,0.011719999365430825
26,0.2,0.4,0.4489774885920083
27,0.2,0.5,1.6222561789783454
28,0.2,0.6,1.37756046779941
29,0.2,0.7,1.5764656900164882
30,0.2,0.8,3.121023246375711
31,0.2,0.9,0.11823820358235947
32,0.2,0.99,0.00026596451519132893
33,0.3,0.01,1.397773127917186e-05
34,0.3,0.1,3.442160552272578e-05
35,0.3,0.2,0.0003354341096069288
36,0.3,0.3,0.00608219308814556
37,0.3,0.4,0.19886303633904523
38,0.3,0.5,1.7683188248887278
39,0.3,0.6,2.244930693881794
40,0.3,0.7,3.159468064824438
41,0.3,0.8,0.3608823693387151
42,0.3,0.9,0.0031770482380873554
43,0.3,0.99,0.000259239197184463
44,0.4,0.01,4.651346855830194e-05
45,0.4,0.1,0.00010700630164295917
46,0.4,0.2,0.00029347221473320493
47,0.4,0.3,0.0036562573660136877
48,0.4,0.4,0.1139833976854062
49,0.4,0.5,1.7055471428775173
50,0.4,0.6,2.6032983491281385
51,0.4,0.7,0.4612517216379479
52,0.4,0.8,0.01116967757567657
53,0.4,0.9,0.0002768137628128053
54,0.4,0.99,8.97952462818473e-05
55,0.5,0.01,0.00015142645716984896
56,0.5,0.1,0.0013085182734717598
57,0.5,0.2,0.0016277043978632547
58,0.5,0.3,0.011420938994333657
59,0.5,0.4,0.07318443680130615
60,0.5,0.5,0.5704378574993703
61,0.5,0.6,0.11922016168377993
62,0.5,0.7,0.0098724786846632
63,0.5,0.8,0.0006691866843116947
64,0.5,0.9,0.00017353199707377445
65,0.5,0.99,4.046471802773138e-05
66,0.6,0.01,0.00047625650941752925
67,0.6,0.1,0.0012082608681000119
68,0.6,0.2,0.014990460168085376
69,0.6,0.3,0.24842485728931557
70,0.6,0.4,1.9697968069561387
71,0.6,0.5,1.400171608764727
72,0.6,0.6,0.1612956002126281
73,0.6,0.7,0.0024895028128883116
74,0.6,0.8,0.00021977597172948877
75,0.6,0.9,6.943046578639211e-05
76,0.6,0.99,3.2695253267934915e-05
77,0.7,0.01,0.0025507649830237593
78,0.7,0.1,0.022820827403131665
79,0.7,0.2,0.5010635785391568
80,0.7,0.3,2.572219237381252
81,0.7,0.4,2.0308689588923623
82,0.7,0.5,1.9576742190567793
83,0.7,0.6,0.28022161134942636
84,0.7,0.7,0.010871900080732706
85,0.7,0.8,0.00020611856305268074
86,0.7,0.9,5.64027140424095e-05
87,0.7,0.99,2.1864102964335482e-05
88,0.8,0.01,0.03555304097592318
89,0.8,0.1,0.3096300136926255
90,0.8,0.2,2.2789802463800477
91,0.8,0.3,1.8748803295838579
92,0.8,0.4,1.67961400517987
93,0.8,0.5,1.613004420153411
94,0.8,0.6,0.4754984622891626
95,0.8,0.7,0.013634138434700016
96,0.8,0.8,0.00024313167518755284
97,0.8,0.9,3.5205636698502825e-05
98,0.8,0.99,2.0430334829757656e-05
99,0.9,0.01,0.47516485360733907
100,0.9,0.1,2.145246811263799
101,0.9,0.2,1.7007691693214586
102,0.9,0.3,1.1587949781812688
103,0.9,0.4,1.5790997726378817
104,0.9,0.5,1.575522713826465
105,0.9,0.6,0.7770634726915366
106,0.9,0.7,0.06754140747593192
107,0.9,0.8,0.0029927931880874233
108,0.9,0.9,3.824254228954467e-05
109,0.9,0.99,1.5489298440722896e-05
110,0.99,0.01,1.794216526803563
111,0.99,0.1,2.2041592471602707
112,0.99,0.2,2.028607459618862
113,0.99,0.3,1.769842775472096
114,0.99,0.4,1.849891971559283
115,0.99,0.5,1.4075244276731516
116,0.99,0.6,1.0299600951068968
117,0.99,0.7,0.7201475100818724
118,0.99,0.8,0.17298181286523287
119,0.99,0.9,0.0035500953343313253
120,0.99,0.99,9.125967211504737e-06
