,P,cost,value
0,0.01,0.01,1.302467584346207
1,0.01,0.1,1.3310748364875935
2,0.01,0.2,1.3261634470026369
3,0.01,0.3,1.4515978306800208
4,0.01,0.4,1.4967870618770465
5,0.01,0.5,1.600393161453451
6,0.01,0.6,1.3369664467130005
7,0.01,0.7,1.4878238028807014
8,0.01,0.8,1.814530364594737
9,0.01,0.9,2.2018938348566
10,0.01,0.99,0.4760928816690396
11,0.1,0.01,1.2197304807889584
12,0.1,0.1,1.4333501868805822
13,0.1,0.2,1.2242583393284725
14,0.1,0.3,1.4028225665456762
15,0.1,0.4,1.3998845645017435
16,0.1,0.5,1.494230101409097
17,0.1,0.6,1.626679373655778
18,0.1,0.7,1.7651302166542866
19,0.1,0.8,2.050905817892644
20,0.1,0.9,0.38258360305480177
21,0.1,0.99,1.6385662003744141
22,0.2,0.01,1.3632918927701807
23,0.2,0.1,1.4748941296303277
24,0.2,0.2,1.2801985646918834
25,0.2,0.3,1.503812306641289
26,0.2,0.4,1.6209875328524912
27,0.2,0.5,1.6242212607762356
28,0.2,0.6,1.8224591197408047
29,0.2,0.7,1.5737521212703955
30,0.2,0.8,0.31348750298050276
31,0.2,0.9,1.6194000889920968
32,0.2,0.99,1.5043714076561936
33,0.3,0.01,1.3008029556231737
34,0.3,0.1,1.577408481612363
35,0.3,0.2,1.5538254224717791
36,0.3,0.3,1.3428363463786708
37,0.3,0.4,1.6410456528850954
38,0.3,0.5,1.7715696291743281
39,0.3,0.6,1.857226077369415
40,0.3,0.7,0.5227203749807328
41,0.3,0.8,1.5197431074986965
42,0.3,0.9,1.6209882182638393
43,0.3,0.99,1.4877781536331574
44,0.4,0.01,1.4616532300057619
45,0.4,0.1,1.3839853256252423
46,0.4,0.2,1.5185887308955666
47,0.4,0.3,1.690155945987788
48,0.4,0.4,1.708601257586323
49,0.4,0.5,1.7052841319788579
50,0.4,0.6,0.44268599707082634
51,0.4,0.7,1.5130222976622316
52,0.4,0.8,1.624666810970477
53,0.4,0.9,1.6840966532313404
54,0.4,0.99,1.4115911723384635
55,0.5,0.01,1.3381474936157411
56,0.5,0.1,1.380574670837392
57,0.5,0.2,1.4421874689657415
58,0.5,0.3,1.7702682806522538
59,0.5,0.4,1.7781751140508264
60,0.5,0.5,0.5571695132188191
61,0.5,0.6,1.414990419324048
62,0.5,0.7,1.7233866601880226
63,0.5,0.8,1.6875849566750312
64,0.5,0.9,1.3695701240054692
65,0.5,0.99,1.3548327808572738
66,0.6,0.01,1.5535291297321017
67,0.6,0.1,1.5822295201304821
68,0.6,0.2,1.854649717339456
69,0.6,0.3,2.013156989963373
70,0.6,0.4,0.6430559383348055
71,0.6,0.5,1.395014725934602
72,0.6,0.6,1.9790438510711885
73,0.6,0.7,1.6410997753197567
74,0.6,0.8,1.3447840177187214
75,0.6,0.9,1.3715846776921703
76,0.6,0.99,1.3599284411992154
77,0.7,0.01,1.5752150969418708
78,0.7,0.1,1.7598001129656395
79,0.7,0.2,1.873269055080631
80,0.7,0.3,0.7016665788992332
81,0.7,0.4,1.6643462103092448
82,0.7,0.5,1.958453616081982
83,0.7,0.6,1.6546923532682096
84,0.7,0.7,1.574324196244778
85,0.7,0.8,1.5044268681079607
86,0.7,0.9,1.3566726063294534
87,0.7,0.99,1.2844545100375615
88,0.8,0.01,1.475538528573279
89,0.8,0.1,1.761079532560995
90,0.8,0.2,0.9964873151448989
91,0.8,0.3,1.5851530234609443
92,0.8,0.4,2.0194780627734716
93,0.8,0.5,1.6117330767428966
94,0.8,0.6,1.604446904139122
95,0.8,0.7,1.4311288209695352
96,0.8,0.8,1.3048507344848996
97,0.8,0.9,1.2364107393057882
98,0.8,0.99,1.3342787120808373
99,0.9,0.01,1.9437708255755537
100,0.9,0.1,1.2008041585744447
101,0.9,0.2,1.8344881104337294
102,0.9,0.3,1.8250662734065515
103,0.9,0.4,1.7815859533845824
104,0.9,0.5,1.5764964145457467
105,0.9,0.6,1.400651838048873
106,0.9,0.7,1.5546722099182975
107,0.9,0.8,1.3039500484231663
108,0.9,0.9,1.31182728465717
109,0.9,0.99,1.4898753025269413
110,0.99,0.01,1.7774981021660985
111,0.99,0.1,1.9780849016884923
112,0.99,0.2,2.040192671941257
113,0.99,0.3,1.7052032642183657
114,0.99,0.4,1.7413905894308426
115,0.99,0.5,1.4073693012219932
116,0.99,0.6,1.5126094846264797
117,0.99,0.7,1.2976317953840018
118,0.99,0.8,1.4014588797880534
119,0.99,0.9,1.2031982297790564
120,0.99,0.99,1.3181991372045667
