,P,cost,value
0,0.01,0.01,4.365494488124711e-07
1,0.01,0.1,4.1704092926343896e-07
2,0.01,0.2,2.6346854210322094e-07
3,0.01,0.3,4.4765831103777914e-07
4,0.01,0.4,2.721699511473442e-07
5,0.01,0.5,7.454845196595096e-07
6,0.01,0.6,1.0499673818664546e-06
7,0.01,0.7,4.685350587701887e-06
8,0.01,0.8,8.951446012513816e-05
9,0.01,0.9,0.008324317761956771
10,0.01,0.99,3.614347391512239
11,0.1,0.01,2.77919188828885e-05
12,0.1,0.1,1.925399345904606e-05
13,0.1,0.2,2.119752307509844e-05
14,0.1,0.3,1.9259680076630393e-05
15,0.1,0.4,1.162317492580612e-05
16,0.1,0.5,2.4699378398203174e-05
17,0.1,0.6,0.00013209815456636392
18,0.1,0.7,0.0018641742964744452
19,0.1,0.8,0.20679617309871443
20,0.1,0.9,3.16661940571211
21,0.1,0.99,0.19715747269744424
22,0.2,0.01,0.0006882084178855243
23,0.2,0.1,0.000404074483110065
24,0.2,0.2,0.000700789509548594
25,0.2,0.3,0.00015886438593888698
26,0.2,0.4,0.00010479037561686154
27,0.2,0.5,0.0001844729183824627
28,0.2,0.6,0.003923332923144557
29,0.2,0.7,0.29125675286129005
30,0.2,0.8,3.2570867540985313
31,0.2,0.9,0.561164327884663
32,0.2,0.99,0.08834302723346772
33,0.3,0.01,0.012704591550902276
34,0.3,0.1,0.020053292957665506
35,0.3,0.2,0.007602407606892483
36,0.3,0.3,0.005920952092023034
37,0.3,0.4,0.004171237115177603
38,0.3,0.5,0.005344148157502836
39,0.3,0.6,0.25534744623519734
40,0.3,0.7,2.801303286647549
41,0.3,0.8,1.0215610542043942
42,0.3,0.9,0.38678107248306426
43,0.3,0.99,0.23281191731151216
44,0.4,0.01,0.40382119612999756
45,0.4,0.1,0.3428704655378317
46,0.4,0.2,0.2700505409917985
47,0.4,0.3,0.17791121194396065
48,0.4,0.4,0.11121564709400504
49,0.4,0.5,0.11480924075836593
50,0.4,0.6,2.4491051154127064
51,0.4,0.7,2.3261079626184973
52,0.4,0.8,1.0091142911329567
53,0.4,0.9,0.6816242725549647
54,0.4,0.99,0.4582014358811416
55,0.5,0.01,1.3265906579371303
56,0.5,0.1,1.394932389226814
57,0.5,0.2,1.4791607499293842
58,0.5,0.3,1.7907385381338532
59,0.5,0.4,1.7879221177818931
60,0.5,0.5,0.5513835380094371
61,0.5,0.6,1.3863199294575945
62,0.5,0.7,1.691159093515798
63,0.5,0.8,1.652241306291741
64,0.5,0.9,1.347801491958753
65,0.5,0.99,1.333867385960503
66,0.6,0.01,0.5161682381687567
67,0.6,0.1,0.6319451870999055
68,0.6,0.2,1.177911529609623
69,0.6,0.3,2.2497961660325374
70,0.6,0.4,2.6712578257931128
71,0.6,0.5,0.31152359860233575
72,0.6,0.6,0.13665854097304467
73,0.6,0.7,0.18505494936195244
74,0.6,0.8,0.24357257577563124
75,0.6,0.9,0.31603893584405207
76,0.6,0.99,0.363337924068983
77,0.7,0.01,0.11760005651133515
78,0.7,0.1,0.36171076981053846
79,0.7,0.2,0.9831689187634634
80,0.7,0.3,2.664985431698428
81,0.7,0.4,0.7043697456930915
82,0.7,0.5,0.014503138084953595
83,0.7,0.6,0.003568121916968859
84,0.7,0.7,0.00948253769070254
85,0.7,0.8,0.015711951071651294
86,0.7,0.9,0.006342552651398764
87,0.7,0.99,0.010337047320219176
88,0.8,0.01,0.13756642957369247
89,0.8,0.1,0.48955665153370376
90,0.8,0.2,2.224751752301237
91,0.8,0.3,0.9370729613248141
92,0.8,0.4,0.041023554313672876
93,0.8,0.5,0.0014815822388696467
94,0.8,0.6,0.0005766794452539836
95,0.8,0.7,0.0004686547753863958
96,0.8,0.8,0.00026264536899551333
97,0.8,0.9,0.00037249036560933556
98,0.8,0.99,0.0005432307404859876
99,0.9,0.01,0.3836369725441501
100,0.9,0.1,1.6535797061419257
101,0.9,0.2,0.8583216064050139
102,0.9,0.3,0.08153244496047617
103,0.9,0.4,0.004094856133334394
104,0.9,0.5,0.0007567528582127539
105,0.9,0.6,0.00017067864114936093
106,0.9,0.7,7.885883695039707e-05
107,0.9,0.8,4.542932888023908e-05
108,0.9,0.9,4.444205126082723e-05
109,0.9,0.99,4.236659055831894e-05
110,0.99,0.01,1.0464566718455937
111,0.99,0.1,0.9673615376187507
112,0.99,0.2,0.056713498876909324
113,0.99,0.3,0.006865081569393636
114,0.99,0.4,0.0006639641869729479
115,0.99,0.5,0.00015216394348093205
116,0.99,0.6,8.861364935864318e-05
117,0.99,0.7,3.136629907168115e-05
118,0.99,0.8,1.609111756405265e-05
119,0.99,0.9,1.026058432954044e-05
120,0.99,0.99,7.35544044240997e-06
