,P,cost,value
0,0.01,0.01,1.3034289261128553
1,0.01,0.1,1.3309234867010609
2,0.01,0.2,1.3257983736909043
3,0.01,0.3,1.45218454084364
4,0.01,0.4,1.496612204777543
5,0.01,0.5,1.6002356043595667
6,0.01,0.6,1.3365943968960123
7,0.01,0.7,1.4883287981275704
8,0.01,0.8,1.8127438256978443
9,0.01,0.9,2.20181723036095
10,0.01,0.99,0.4760928816690396
11,0.1,0.01,1.2206118279798375
12,0.1,0.1,1.4336387566428335
13,0.1,0.2,1.224214511601116
14,0.1,0.3,1.4026479337301414
15,0.1,0.4,1.3996441304759286
16,0.1,0.5,1.4946458978770918
17,0.1,0.6,1.6261122723124748
18,0.1,0.7,1.7649430794382548
19,0.1,0.8,2.056102601415228
20,0.1,0.9,0.38258360305480177
21,0.1,0.99,1.6402849846446577
22,0.2,0.01,1.3630870822132644
23,0.2,0.1,1.4749854395468347
24,0.2,0.2,1.281157281942582
25,0.2,0.3,1.5036812923676777
26,0.2,0.4,1.621046382141798
27,0.2,0.5,1.6243482467897739
28,0.2,0.6,1.8237464974146242
29,0.2,0.7,1.5831510297094766
30,0.2,0.8,0.3134206020670694
31,0.2,0.9,1.6194353014483776
32,0.2,0.99,1.5050470377581409
33,0.3,0.01,1.3007962371225825
34,0.3,0.1,1.5774866462287316
35,0.3,0.2,1.5538184006218176
36,0.3,0.3,1.3429591798461105
37,0.3,0.4,1.641140410796193
38,0.3,0.5,1.7738049963283409
39,0.3,0.6,1.8570083225531833
40,0.3,0.7,0.5227203749807328
41,0.3,0.8,1.51961321910453
42,0.3,0.9,1.6210775102104158
43,0.3,0.99,1.4881189095967293
44,0.4,0.01,1.4636204662043735
45,0.4,0.1,1.3839851342743756
46,0.4,0.2,1.5185944980837984
47,0.4,0.3,1.690103312448866
48,0.4,0.4,1.7090556080087578
49,0.4,0.5,1.7053424326493114
50,0.4,0.6,0.44268599707082634
51,0.4,0.7,1.5134394495763248
52,0.4,0.8,1.6248409579527536
53,0.4,0.9,1.6839108137770162
54,0.4,0.99,1.4117743996878631
55,0.5,0.01,1.3391826674954042
56,0.5,0.1,1.3799160191619497
57,0.5,0.2,1.4419789483561414
58,0.5,0.3,1.7704161749194087
59,0.5,0.4,1.778162175378122
60,0.5,0.5,0.5571695132188191
61,0.5,0.6,1.415769933037439
62,0.5,0.7,1.723664903576279
63,0.5,0.8,1.6892793117759002
64,0.5,0.9,1.3714781078884277
65,0.5,0.99,1.3547588063323903
66,0.6,0.01,1.5535291297321017
67,0.6,0.1,1.5821947074873377
68,0.6,0.2,1.8546823918763842
69,0.6,0.3,2.013142445438811
70,0.6,0.4,0.6430559383348055
71,0.6,0.5,1.3949272483392394
72,0.6,0.6,1.9800052317738517
73,0.6,0.7,1.6422710859311271
74,0.6,0.8,1.344482481712102
75,0.6,0.9,1.3741791744524592
76,0.6,0.99,1.361346020987454
77,0.7,0.01,1.5750858807548018
78,0.7,0.1,1.7597839186773645
79,0.7,0.2,1.8732619774295531
80,0.7,0.3,0.7016665788992332
81,0.7,0.4,1.6644782914912537
82,0.7,0.5,1.958494374207633
83,0.7,0.6,1.6535808759330282
84,0.7,0.7,1.5775001444121173
85,0.7,0.8,1.5046242380186337
86,0.7,0.9,1.3579613788391312
87,0.7,0.99,1.2832096755237004
88,0.8,0.01,1.4764989106440354
89,0.8,0.1,1.7615822440846598
90,0.8,0.2,0.9964873151448989
91,0.8,0.3,1.5838136437379777
92,0.8,0.4,2.021698979474327
93,0.8,0.5,1.611372006898625
94,0.8,0.6,1.6040741622000922
95,0.8,0.7,1.4431429486099236
96,0.8,0.8,1.3046516967014918
97,0.8,0.9,1.2356461863447616
98,0.8,0.99,1.3340867922119588
99,0.9,0.01,1.9428310135026547
100,0.9,0.1,1.2008041585744447
101,0.9,0.2,1.8340792198255318
102,0.9,0.3,1.825351555369044
103,0.9,0.4,1.779727467476751
104,0.9,0.5,1.5779029968630167
105,0.9,0.6,1.4009253989218495
106,0.9,0.7,1.5553099827067403
107,0.9,0.8,1.3048379070926572
108,0.9,0.9,1.3119372426990097
109,0.9,0.99,1.4912092908009589
110,0.99,0.01,1.7774981021660985
111,0.99,0.1,1.9779219123871337
112,0.99,0.2,2.040283352670642
113,0.99,0.3,1.704455586997842
114,0.99,0.4,1.741402197885841
115,0.99,0.5,1.4077899917639944
116,0.99,0.6,1.512662991897047
117,0.99,0.7,1.297634104739306
118,0.99,0.8,1.4018003412669413
119,0.99,0.9,1.203257617589777
120,0.99,0.99,1.3183442631318707
