,P,cost,value
0,0.01,0.01,1.3249685222059806
1,0.01,0.1,1.4017791169719451
2,0.01,0.2,1.3743474092754262
3,0.01,0.3,1.488991400455624
4,0.01,0.4,1.5532036821731614
5,0.01,0.5,1.5372173767950514
6,0.01,0.6,1.3284323512785838
7,0.01,0.7,1.4558847168196587
8,0.01,0.8,1.4972478247126046
9,0.01,0.9,1.9431392681239537
10,0.01,0.99,1.1171880368609823
11,0.1,0.01,0.8033906743433183
12,0.1,0.1,0.7797395672750117
13,0.1,0.2,0.7346343684693719
14,0.1,0.3,0.8862591641798259
15,0.1,0.4,0.8711701581153555
16,0.1,0.5,0.9915346691162867
17,0.1,0.6,1.0651187766449326
18,0.1,0.7,1.4514834838412605
19,0.1,0.8,2.211936336665213
20,0.1,0.9,1.556784965294868
21,0.1,0.99,0.6831513114233241
22,0.2,0.01,1.0947302647419683
23,0.2,0.1,0.9767777127657379
24,0.2,0.2,1.0567047425254743
25,0.2,0.3,1.156478237746434
26,0.2,0.4,1.4007996935936693
27,0.2,0.5,1.3994429745760681
28,0.2,0.6,1.7721843343816506
29,0.2,0.7,1.8001838409578013
30,0.2,0.8,1.0521225742894773
31,0.2,0.9,1.0134941598677036
32,0.2,0.99,1.2044489050940044
33,0.3,0.01,1.3559733696844583
34,0.3,0.1,1.4376309052271754
35,0.3,0.2,1.4732683880410435
36,0.3,0.3,1.3180651827551104
37,0.3,0.4,1.639351160798265
38,0.3,0.5,1.7149809968593663
39,0.3,0.6,2.035882512967599
40,0.3,0.7,0.7754553996734193
41,0.3,0.8,1.0555242765649804
42,0.3,0.9,1.4071472745152152
43,0.3,0.99,1.515215284171766
44,0.4,0.01,1.4628916590943772
45,0.4,0.1,1.3283965454314706
46,0.4,0.2,1.541318353667013
47,0.4,0.3,1.7028836423327678
48,0.4,0.4,1.724745333159161
49,0.4,0.5,1.8254332158520947
50,0.4,0.6,0.49200152600335356
51,0.4,0.7,1.2353364180501019
52,0.4,0.8,1.5506989670100189
53,0.4,0.9,1.7117637481387795
54,0.4,0.99,1.4201588932079585
55,0.5,0.01,1.3265906579371303
56,0.5,0.1,1.394932389226814
57,0.5,0.2,1.4791607499293842
58,0.5,0.3,1.7907385381338532
59,0.5,0.4,1.7879221177818931
60,0.5,0.5,0.5513835380094371
61,0.5,0.6,1.3863199294575945
62,0.5,0.7,1.691159093515798
63,0.5,0.8,1.652241306291741
64,0.5,0.9,1.347801491958753
65,0.5,0.99,1.333867385960503
66,0.6,0.01,1.4484287529975635
67,0.6,0.1,1.5726352877922667
68,0.6,0.2,1.7854222630155
69,0.6,0.3,1.8000618280179008
70,0.6,0.4,0.5235213633655951
71,0.6,0.5,1.5845093764459235
72,0.6,0.6,1.946126851664158
73,0.6,0.7,1.6615227874908776
74,0.6,0.8,1.2587151886234915
75,0.6,0.9,1.3698201880251093
76,0.6,0.99,1.3243282064119914
77,0.7,0.01,1.5530407314381143
78,0.7,0.1,1.7739623993102938
79,0.7,0.2,1.503464500326753
80,0.7,0.3,0.577131506066191
81,0.7,0.4,1.8777749696492905
82,0.7,0.5,1.9163056429881213
83,0.7,0.6,1.5437329912357824
84,0.7,0.7,1.4233824496767267
85,0.7,0.8,1.3784598593564137
86,0.7,0.9,1.150613437153139
87,0.7,0.99,1.2037762189635224
88,0.8,0.01,1.3735808022600529
89,0.8,0.1,1.2358354199979191
90,0.8,0.2,1.001894811069919
91,0.8,0.3,1.8884989410449537
92,0.8,0.4,2.150644169019978
93,0.8,0.5,1.4501796759643912
94,0.8,0.6,1.2369437830841066
95,0.8,0.7,1.2247166094879698
96,0.8,0.8,0.9944020524216728
97,0.8,0.9,1.132770363991832
98,0.8,0.99,0.9136265217449752
99,0.9,0.01,1.24710931561359
100,0.9,0.1,1.1632675007297542
101,0.9,0.2,2.0267838539518603
102,0.9,0.3,1.698208002954925
103,0.9,0.4,1.5361491285376647
104,0.9,0.5,1.0163591289663938
105,0.9,0.6,0.9063191582958902
106,0.9,0.7,0.8960965513111505
107,0.9,0.8,0.8192366025631891
108,0.9,0.9,0.8137102085363896
109,0.9,0.99,0.8963829176168993
110,0.99,0.01,1.7947588823968035
111,0.99,0.1,2.2063768031772075
112,0.99,0.2,1.927925445540542
113,0.99,0.3,1.6697589893300147
114,0.99,0.4,1.615924781217912
115,0.99,0.5,1.521634091538159
116,0.99,0.6,1.3688416516359192
117,0.99,0.7,1.3494086649727024
118,0.99,0.8,1.4771486766500774
119,0.99,0.9,1.2321504746898115
120,0.99,0.99,1.3474280328554753
