,P,cost,value
0,0.01,0.01,1.2512949528996256
1,0.01,0.1,1.0924356953318568
2,0.01,0.2,1.0988964221470316
3,0.01,0.3,1.2277449627575738
4,0.01,0.4,1.3100485145806715
5,0.01,0.5,1.3146598804312528
6,0.01,0.6,1.1866352004064427
7,0.01,0.7,1.3852228009002634
8,0.01,0.8,1.6303750967496113
9,0.01,0.9,1.6266813671087346
10,0.01,0.99,0.647301002106899
11,0.1,0.01,1.4806082526516637
12,0.1,0.1,1.6493111288878881
13,0.1,0.2,1.4592685392202527
14,0.1,0.3,1.920619791786542
15,0.1,0.4,1.470065396099235
16,0.1,0.5,1.9452519895491234
17,0.1,0.6,1.565146571640181
18,0.1,0.7,2.1283194718188265
19,0.1,0.8,1.5751262656946778
20,0.1,0.9,1.2078099994415374
21,0.1,0.99,0.809794722184438
22,0.2,0.01,2.298232609437002
23,0.2,0.1,2.36334242067234
24,0.2,0.2,2.6115514142125824
25,0.2,0.3,2.6384509126928464
26,0.2,0.4,2.1234792603824086
27,0.2,0.5,2.317102761753397
28,0.2,0.6,1.9598911647344828
29,0.2,0.7,1.1565168687694634
30,0.2,0.8,1.1950885875794917
31,0.2,0.9,1.0619025123407648
32,0.2,0.99,1.2172656990547883
33,0.3,0.01,2.095431558499881
34,0.3,0.1,2.5206355684401265
35,0.3,0.2,2.2366494759836155
36,0.3,0.3,2.273516657488281
37,0.3,0.4,2.306858852857502
38,0.3,0.5,1.4611828465044832
39,0.3,0.6,1.2232863944334833
40,0.3,0.7,1.144419281616905
41,0.3,0.8,1.1577367308401978
42,0.3,0.9,1.2118403773952706
43,0.3,0.99,1.2211400229004552
44,0.4,0.01,2.339934471511968
45,0.4,0.1,2.350872434854092
46,0.4,0.2,2.2119889614009516
47,0.4,0.3,1.7954085567213107
48,0.4,0.4,1.3082214472198528
49,0.4,0.5,1.0092221510393289
50,0.4,0.6,1.0477299823445536
51,0.4,0.7,1.137326590706522
52,0.4,0.8,1.1529282785877706
53,0.4,0.9,1.2548493658597253
54,0.4,0.99,1.0541319462098233
55,0.5,0.01,2.1095300544006075
56,0.5,0.1,2.0474142714152035
57,0.5,0.2,1.8479365471701543
58,0.5,0.3,1.5708791697923234
59,0.5,0.4,1.0992298107169938
60,0.5,0.5,1.044050951977509
61,0.5,0.6,1.139647205181196
62,0.5,0.7,1.1552485917027095
63,0.5,0.8,1.3122635602958421
64,0.5,0.9,1.2868672010403235
65,0.5,0.99,1.3319982557536383
66,0.6,0.01,1.690649992552604
67,0.6,0.1,1.4103943849831686
68,0.6,0.2,1.075963884905288
69,0.6,0.3,0.9202567969898735
70,0.6,0.4,1.182573310395183
71,0.6,0.5,0.9976437880968216
72,0.6,0.6,0.9486359197385961
73,0.6,0.7,0.9664406852999691
74,0.6,0.8,1.0044822090288654
75,0.6,0.9,0.9615829753426879
76,0.6,0.99,1.1328151497905554
77,0.7,0.01,1.4332903767804726
78,0.7,0.1,1.2527320130033959
79,0.7,0.2,0.972526736816946
80,0.7,0.3,1.191900676780377
81,0.7,0.4,1.0262330465303968
82,0.7,0.5,1.1658492390626671
83,0.7,0.6,1.168622484640934
84,0.7,0.7,1.048775492801621
85,0.7,0.8,0.9920538799439702
86,0.7,0.9,1.0999890790074898
87,0.7,0.99,1.0405769421714652
88,0.8,0.01,1.2288780305884186
89,0.8,0.1,1.0247319083305992
90,0.8,0.2,1.2781429415576966
91,0.8,0.3,0.9756974396703821
92,0.8,0.4,1.2911411525688619
93,0.8,0.5,1.2584352232026585
94,0.8,0.6,1.1107933164848411
95,0.8,0.7,1.0286485785311115
96,0.8,0.8,1.0508383364285392
97,0.8,0.9,1.0672663901331794
98,0.8,0.99,1.0934985115313502
99,0.9,0.01,1.1571886294961802
100,0.9,0.1,1.2070948001884965
101,0.9,0.2,1.1434697971311227
102,0.9,0.3,1.201205464801103
103,0.9,0.4,1.118919244818823
104,0.9,0.5,1.010418316475207
105,0.9,0.6,0.8462128097643276
106,0.9,0.7,0.9484106210391945
107,0.9,0.8,0.8972101529620617
108,0.9,0.9,0.9612221915866704
109,0.9,0.99,0.913104012349048
110,0.99,0.01,1.5453766554629786
111,0.99,0.1,1.258704438874469
112,0.99,0.2,1.1355198512899376
113,0.99,0.3,0.8502466984933282
114,0.99,0.4,0.8100927925061359
115,0.99,0.5,0.7509590474626855
116,0.99,0.6,0.6921712756712719
117,0.99,0.7,0.5856215316640101
118,0.99,0.8,0.5299083753579287
119,0.99,0.9,0.5423231312771444
120,0.99,0.99,0.5312934761900561
