,P,cost,value
0,0.01,0.01,0.6203700472913669
1,0.01,0.1,0.6727097045741826
2,0.01,0.2,0.7819821963669542
3,0.01,0.3,0.7635022177267735
4,0.01,0.4,0.8623216691245271
5,0.01,0.5,1.0144901721965525
6,0.01,0.6,0.8425523895460014
7,0.01,0.7,1.0462216667407112
8,0.01,0.8,1.2194631402021827
9,0.01,0.9,1.927769244073877
10,0.01,0.99,1.5106574032185305
11,0.1,0.01,0.4912358505146591
12,0.1,0.1,0.5020590152858927
13,0.1,0.2,0.5727204283790006
14,0.1,0.3,0.5596734010746752
15,0.1,0.4,0.6521567623698808
16,0.1,0.5,0.8767616431806287
17,0.1,0.6,0.8360544953304505
18,0.1,0.7,1.1470161266733592
19,0.1,0.8,2.0379437996265866
20,0.1,0.9,2.4557854918352966
21,0.1,0.99,0.26648214459507663
22,0.2,0.01,0.47862982597548015
23,0.2,0.1,0.46756165430542973
24,0.2,0.2,0.5762974352785933
25,0.2,0.3,0.7408604556449923
26,0.2,0.4,0.9098469986901513
27,0.2,0.5,0.9461247101041859
28,0.2,0.6,1.2441473611932434
29,0.2,0.7,1.6413943934212396
30,0.2,0.8,2.3929327038611343
31,0.2,0.9,0.3552196055382577
32,0.2,0.99,0.495065840849703
33,0.3,0.01,0.6110240651440029
34,0.3,0.1,0.6767577011109259
35,0.3,0.2,0.6197326530727634
36,0.3,0.3,0.6654487283125364
37,0.3,0.4,1.103503535276193
38,0.3,0.5,1.3433910249804335
39,0.3,0.6,1.6016444602726043
40,0.3,0.7,2.335039091007384
41,0.3,0.8,0.35010691370707336
42,0.3,0.9,0.45379242276309517
43,0.3,0.99,0.6319952607803256
44,0.4,0.01,0.6056249360027582
45,0.4,0.1,0.660513537351674
46,0.4,0.2,0.7592235246026899
47,0.4,0.3,1.0248886724671862
48,0.4,0.4,1.3828466422563135
49,0.4,0.5,1.5157588844498002
50,0.4,0.6,1.9924106012832852
51,0.4,0.7,0.3306619409873463
52,0.4,0.8,0.465521220130645
53,0.4,0.9,0.6614375250749188
54,0.4,0.99,0.5732384753273106
55,0.5,0.01,0.6429098838151821
56,0.5,0.1,0.7123281029997203
57,0.5,0.2,1.05602718496636
58,0.5,0.3,1.3697477509729408
59,0.5,0.4,1.628162667942793
60,0.5,0.5,2.048958603033097
61,0.5,0.6,0.3539919156762566
62,0.5,0.7,0.5657866780623401
63,0.5,0.8,0.7093507659993794
64,0.5,0.9,0.7279943022864281
65,0.5,0.99,0.6597545846461783
66,0.6,0.01,0.7822305894196571
67,0.6,0.1,0.8893788930761197
68,0.6,0.2,1.296863217675957
69,0.6,0.3,2.0538266396757887
70,0.6,0.4,2.1507091742491538
71,0.6,0.5,0.45380572715874457
72,0.6,0.6,0.6886488268837045
73,0.6,0.7,0.6923054043160166
74,0.6,0.8,0.7499815038925781
75,0.6,0.9,0.6924422453070372
76,0.6,0.99,0.7556585535543843
77,0.7,0.01,0.9452657444452238
78,0.7,0.1,1.3891833049182036
79,0.7,0.2,1.7087546600783021
80,0.7,0.3,2.035854950145905
81,0.7,0.4,0.5492498795887872
82,0.7,0.5,0.7938943609118304
83,0.7,0.6,0.8242689435570721
84,0.7,0.7,0.7405569409293439
85,0.7,0.8,0.759357489358467
86,0.7,0.9,0.7894666002855172
87,0.7,0.99,0.7288929749009139
88,0.8,0.01,0.9258518554222166
89,0.8,0.1,1.5930468461735243
90,0.8,0.2,1.6904689039158383
91,0.8,0.3,0.6680049832117001
92,0.8,0.4,0.8916140866146045
93,0.8,0.5,0.9496987470999112
94,0.8,0.6,0.7931971262647598
95,0.8,0.7,0.7775430380010696
96,0.8,0.8,0.6860276667822818
97,0.8,0.9,0.7034245819994628
98,0.8,0.99,0.776471020963322
99,0.9,0.01,1.4572262133721843
100,0.9,0.1,1.4108024066216454
101,0.9,0.2,0.8663983672686084
102,0.9,0.3,0.9291279670638526
103,0.9,0.4,0.922392112694999
104,0.9,0.5,0.8453594249744084
105,0.9,0.6,0.745598061361477
106,0.9,0.7,0.6525576234238312
107,0.9,0.8,0.7689768013881502
108,0.9,0.9,0.7636612829419924
109,0.9,0.99,0.691146977266893
110,0.99,0.01,1.5456139861040121
111,0.99,0.1,1.2948954700084188
112,0.99,0.2,1.1070706194799338
113,0.99,0.3,0.836522705006887
114,0.99,0.4,0.7936146438239454
115,0.99,0.5,0.7272268906892492
116,0.99,0.6,0.6668900330670886
117,0.99,0.7,0.5405612557610081
118,0.99,0.8,0.48906796695793864
119,0.99,0.9,0.515579050899826
120,0.99,0.99,0.5047910506815928
