,P,cost,value
0,0.01,0.01,0.7598119145615498
1,0.01,0.1,0.7086631585226308
2,0.01,0.2,0.8587180173051632
3,0.01,0.3,1.0266219070449587
4,0.01,0.4,1.0820838167093347
5,0.01,0.5,1.4195525863439187
6,0.01,0.6,1.121483088863344
7,0.01,0.7,1.530291554147947
8,0.01,0.8,1.8438470350750742
9,0.01,0.9,2.9427318822144293
10,0.01,0.99,2.1147639894363888
11,0.1,0.01,0.04719904144152444
12,0.1,0.1,0.0392909236882798
13,0.1,0.2,0.054916418633642126
14,0.1,0.3,0.06562071159649603
15,0.1,0.4,0.0786949840061599
16,0.1,0.5,0.08092116117719675
17,0.1,0.6,0.1160732299995374
18,0.1,0.7,0.2721216743973565
19,0.1,0.8,0.9493171906496839
20,0.1,0.9,3.166773118248108
21,0.1,0.99,0.0019528104704852754
22,0.2,0.01,0.016717183480885828
23,0.2,0.1,0.0239769192433876
24,0.2,0.2,0.03211435534549777
25,0.2,0.3,0.043981756563747816
26,0.2,0.4,0.05570391156846605
27,0.2,0.5,0.09964004651708824
28,0.2,0.6,0.20666291316978222
29,0.2,0.7,0.8386761528653772
30,0.2,0.8,2.955245782166314
31,0.2,0.9,0.15424600690481344
32,0.2,0.99,0.00024135510673859123
33,0.3,0.01,0.017106931602707102
34,0.3,0.1,0.022308231455039414
35,0.3,0.2,0.02112328105899631
36,0.3,0.3,0.03206034741818973
37,0.3,0.4,0.09282955660750465
38,0.3,0.5,0.21379600261022047
39,0.3,0.6,0.6675049988140833
40,0.3,0.7,2.7026059933247675
41,0.3,0.8,0.5649223649945061
42,0.3,0.9,0.004550036202166885
43,0.3,0.99,0.00011861872936663304
44,0.4,0.01,0.01998542629398572
45,0.4,0.1,0.0156993885095223
46,0.4,0.2,0.031138249569845913
47,0.4,0.3,0.06430341918363981
48,0.4,0.4,0.19665552768325584
49,0.4,0.5,0.7166707880835972
50,0.4,0.6,2.766197784578051
51,0.4,0.7,0.9031741783758213
52,0.4,0.8,0.03378777772760368
53,0.4,0.9,0.0004480611061516405
54,0.4,0.99,6.615867838422305e-05
55,0.5,0.01,0.019124504397587137
56,0.5,0.1,0.026873174283675687
57,0.5,0.2,0.0502442081205125
58,0.5,0.3,0.18379228011925214
59,0.5,0.4,0.6595310005966454
60,0.5,0.5,2.5621097416925984
61,0.5,0.6,0.7261355123314732
62,0.5,0.7,0.045592050545300015
63,0.5,0.8,0.001524148140643064
64,0.5,0.9,0.00017313772031075285
65,0.5,0.99,3.331696748163787e-05
66,0.6,0.01,0.025807406377120135
67,0.6,0.1,0.04562394115870447
68,0.6,0.2,0.22491050985311065
69,0.6,0.3,0.5977630792798889
70,0.6,0.4,2.4313100045382243
71,0.6,0.5,1.0864282766665105
72,0.6,0.6,0.0699979948589833
73,0.6,0.7,0.0018812463248630302
74,0.6,0.8,0.0003680274050513991
75,0.6,0.9,5.9288526433361915e-05
76,0.6,0.99,2.7144372160466774e-05
77,0.7,0.01,0.039130511801934206
78,0.7,0.1,0.14382007688849563
79,0.7,0.2,0.5167603094241681
80,0.7,0.3,2.1680437261706875
81,0.7,0.4,1.1582994614991202
82,0.7,0.5,0.10340200570617049
83,0.7,0.6,0.011977964950746076
84,0.7,0.7,0.0013126025465569756
85,0.7,0.8,0.00010116237611552243
86,0.7,0.9,6.267725734387114e-05
87,0.7,0.99,1.7496085517068768e-05
88,0.8,0.01,0.09045969544825484
89,0.8,0.1,0.3341593562874505
90,0.8,0.2,1.9843358587693007
91,0.8,0.3,1.133550747998087
92,0.8,0.4,0.0955593774227263
93,0.8,0.5,0.0045275310926755
94,0.8,0.6,0.001101513108033283
95,0.8,0.7,0.00023510262231833532
96,0.8,0.8,5.245561734681613e-05
97,0.8,0.9,2.3897204127604612e-05
98,0.8,0.99,1.3868604244886175e-05
99,0.9,0.01,0.3361657671662811
100,0.9,0.1,1.550338522265725
101,0.9,0.2,0.9306526662580534
102,0.9,0.3,0.10446004511175422
103,0.9,0.4,0.008564849063455051
104,0.9,0.5,0.0011165372605544265
105,0.9,0.6,0.0001757263619561215
106,0.9,0.7,7.685984658525645e-05
107,0.9,0.8,3.1886237219789127e-05
108,0.9,0.9,1.7248208812342026e-05
109,0.9,0.99,1.3470608366430227e-05
110,0.99,0.01,1.029312605395881
111,0.99,0.1,0.9755414972207156
112,0.99,0.2,0.058423343549043334
113,0.99,0.3,0.007127247995629039
114,0.99,0.4,0.0006998427671312217
115,0.99,0.5,0.00015334191531928156
116,0.99,0.6,8.482149691507405e-05
117,0.99,0.7,3.106595664730363e-05
118,0.99,0.8,1.4704046960685568e-05
119,0.99,0.9,9.112625508716033e-06
120,0.99,0.99,6.705976419117159e-06
