,P,cost,value
0,0.01,0.01,1.0590087779970489e-08
1,0.01,0.1,1.3069171580773703e-08
2,0.01,0.2,7.098586324617466e-08
3,0.01,0.3,2.728534714606165e-07
4,0.01,0.4,5.356464588238361e-07
5,0.01,0.5,5.205884239032849e-06
6,0.01,0.6,3.8054644468007276e-06
7,0.01,0.7,1.3262859222106605e-05
8,0.01,0.8,0.00015824217816020784
9,0.01,0.9,0.01065515993710476
10,0.01,0.99,3.649969151008763
11,0.1,0.01,4.5378566861082426e-07
12,0.1,0.1,6.926643403073421e-07
13,0.1,0.2,2.841029724340734e-06
14,0.1,0.3,9.920182020724207e-06
15,0.1,0.4,3.006798969900956e-05
16,0.1,0.5,0.0001804087010968819
17,0.1,0.6,0.0005847901115396883
18,0.1,0.7,0.005373754942150973
19,0.1,0.8,0.2872444459194092
20,0.1,0.9,3.1352594190125753
21,0.1,0.99,0.14688557044832812
22,0.2,0.01,2.362644738235231e-06
23,0.2,0.1,8.137116853370152e-06
24,0.2,0.2,1.5327244214286415e-05
25,0.2,0.3,7.682471687540751e-05
26,0.2,0.4,0.00016437273706766556
27,0.2,0.5,0.002723711613984086
28,0.2,0.6,0.021561212875871413
29,0.2,0.7,0.49164249556205747
30,0.2,0.8,3.1933190060977696
31,0.2,0.9,0.3812113467894032
32,0.2,0.99,0.0405889713339708
33,0.3,0.01,7.508691408838439e-06
34,0.3,0.1,2.1126998847295965e-05
35,0.3,0.2,4.355212678201247e-05
36,0.3,0.3,0.00024957838662866493
37,0.3,0.4,0.0025825492634465627
38,0.3,0.5,0.042572409424186164
39,0.3,0.6,0.7427027130482334
40,0.3,0.7,2.913899561899444
41,0.3,0.8,0.5444070135834388
42,0.3,0.9,0.1058212258796481
43,0.3,0.99,0.02445710057402002
44,0.4,0.01,2.7761423105881684e-05
45,0.4,0.1,9.046142223888207e-05
46,0.4,0.2,0.0004347362967796072
47,0.4,0.3,0.004216502943858942
48,0.4,0.4,0.061344259620758276
49,0.4,0.5,0.7471236352257048
50,0.4,0.6,3.10961786673364
51,0.4,0.7,0.7153192127574624
52,0.4,0.8,0.13805013623983697
53,0.4,0.9,0.027451191256285964
54,0.4,0.99,0.014619926360732007
55,0.5,0.01,9.160562977232958e-05
56,0.5,0.1,0.0012726445914944544
57,0.5,0.2,0.002168459597630653
58,0.5,0.3,0.050134403332835045
59,0.5,0.4,0.6229719306650401
60,0.5,0.5,2.854882755359381
61,0.5,0.6,0.6651064394930264
62,0.5,0.7,0.1760805776330177
63,0.5,0.8,0.05496154835325445
64,0.5,0.9,0.01855448535860569
65,0.5,0.99,0.013719102904944408
66,0.6,0.01,0.00045489482380535294
67,0.6,0.1,0.0014459531631096957
68,0.6,0.2,0.03979346175921946
69,0.6,0.3,0.6099617256594524
70,0.6,0.4,2.7351238242827893
71,0.6,0.5,0.9362288264838561
72,0.6,0.6,0.19013910472654538
73,0.6,0.7,0.0480304359602363
74,0.6,0.8,0.03719686243625772
75,0.6,0.9,0.014505211970681048
76,0.6,0.99,0.010886905184372637
77,0.7,0.01,0.0024956676045993563
78,0.7,0.1,0.02759397299104004
79,0.7,0.2,0.6319954094841872
80,0.7,0.3,2.5371176668526707
81,0.7,0.4,0.9115768247502504
82,0.7,0.5,0.28864489499604207
83,0.7,0.6,0.09937621707569577
84,0.7,0.7,0.060381911001760324
85,0.7,0.8,0.02359594075940503
86,0.7,0.9,0.020161856341503956
87,0.7,0.99,0.01688801459896435
88,0.8,0.01,0.032751235536552126
89,0.8,0.1,0.30936956267513227
90,0.8,0.2,2.2109981593133736
91,0.8,0.3,1.1616893549778224
92,0.8,0.4,0.3284913657240016
93,0.8,0.5,0.08576678358942173
94,0.8,0.6,0.056786100411305364
95,0.8,0.7,0.029486263589238074
96,0.8,0.8,0.028657551308330902
97,0.8,0.9,0.019452795059810988
98,0.8,0.99,0.02294150503412102
99,0.9,0.01,0.32816043006032963
100,0.9,0.1,2.0624114452201177
101,0.9,0.2,1.4299893573872304
102,0.9,0.3,0.4960153498488872
103,0.9,0.4,0.23898472995473682
104,0.9,0.5,0.09440817969015369
105,0.9,0.6,0.08162658400076866
106,0.9,0.7,0.05883089650960531
107,0.9,0.8,0.04954212796126907
108,0.9,0.9,0.04566064540355834
109,0.9,0.99,0.047403856003347095
110,0.99,0.01,1.4293456045848718
111,0.99,0.1,2.408218425404673
112,0.99,0.2,2.449550137597919
113,0.99,0.3,1.8520048313659518
114,0.99,0.4,1.6244470995180074
115,0.99,0.5,1.216449068026554
116,0.99,0.6,1.370826435179865
117,0.99,0.7,0.8025678008119086
118,0.99,0.8,0.804887902464647
119,0.99,0.9,0.7598092677752677
120,0.99,0.99,1.2015866574972973
